HR,H,ER,S,ERA,BAVG,L,SvO,BB,Player
4,28,13,0,3.73,0.241,0,2,13,Luke Gregerson
3,21,10,0,4.43,0.276,2,0,5,Joe Savery
8,83,56,0,6.07,0.256,8,0,45,Tim Lincecum
13,90,45,0,5.15,0.288,7,0,31,J.A. Happ
2,38,13,0,2.76,0.25,0,0,26,Josh Roenicke
1,10,2,3,0.93,0.149,1,3,5,Sergio Romo
12,99,35,0,3.29,0.265,5,0,22,Wandy Rodriguez
3,35,14,1,3.9,0.278,4,3,11,Francisco Rodriguez
6,35,29,0,11.86,0.361,2,1,15,Manny Acosta
0,7,4,0,6.35,0.28,0,0,4,Michael Stutes
6,62,34,0,4.12,0.23,7,0,37,Randall Delgado
0,24,6,0,3.06,0.32,1,0,5,Chris Young
3,24,19,0,8.41,0.293,3,0,9,Josh Outman
4,31,17,0,6.2,0.31,1,0,10,Guillermo Moscoso
0,9,6,0,9.0,0.346,0,0,2,Enerio Del Rosario
12,92,39,0,3.82,0.263,8,0,13,Mark Buehrle
2,15,6,0,2.42,0.188,1,1,11,Antonio Bastardo
2,6,4,0,5.14,0.231,1,0,8,Juan Perez
0,14,8,0,8.64,0.4,0,0,2,Dan Otero
10,92,48,0,5.16,0.283,6,0,24,Ricky Nolasco
1,24,11,1,3.62,0.235,3,2,19,Clay Hensley
1,5,3,0,4.5,0.25,0,0,5,Carlos Torres
0,3,1,0,1.8,0.188,0,0,4,Brad Boxberger
2,25,12,0,4.7,0.281,2,0,15,Drew Pomeranz
15,85,46,0,6.68,0.326,6,0,23,Jeremy Guthrie
5,70,33,0,4.13,0.254,7,0,32,Erik Bedard
2,14,6,8,1.57,0.119,3,11,11,Aroldis Chapman
4,35,16,0,4.08,0.267,1,0,22,Miguel Batista
12,99,43,0,3.95,0.259,7,0,27,Clayton Richard
9,91,31,0,3.44,0.283,5,0,21,Joe Saunders
0,3,1,0,9.0,0.6,0,0,0,Wily Peralta
1,25,11,0,4.13,0.272,2,4,15,Rex Brothers
0,5,0,0,0.0,0.227,0,0,3,Michael Gonzalez
12,74,34,0,4.12,0.261,6,0,22,Kevin Correia
2,2,2,0,3.0,0.105,0,0,2,Aneury Rodriguez
3,15,6,1,1.95,0.155,2,2,15,Jason Grilli
6,65,23,0,2.46,0.214,1,0,22,Stephen Strasburg
11,95,41,0,4.13,0.271,7,0,20,Ian Kennedy
4,34,18,0,5.28,0.281,3,0,13,Jeff Suppan
4,96,39,0,4.18,0.296,5,0,27,Josh Johnson
1,25,8,1,2.77,0.248,1,2,8,Jeremy Affeldt
1,28,9,0,2.61,0.233,1,0,8,Cory Luebke
13,75,34,0,3.75,0.241,3,0,29,Jonathon Niese
3,24,11,0,3.49,0.235,2,0,12,Sam LeCure
4,15,7,18,2.33,0.16,0,20,13,Joel Hanrahan
5,26,14,0,4.55,0.245,4,0,9,Joe Wieland
1,13,9,0,7.59,0.295,0,0,3,Evan Meek
8,90,30,0,2.85,0.25,2,0,15,Kyle Lohse
8,96,46,0,5.11,0.298,5,0,31,Randy Wolf
2,21,16,4,5.68,0.236,4,6,17,Rafael Dolis
5,22,13,0,4.74,0.244,1,0,18,Brad Brach
0,8,3,0,4.5,0.32,1,0,2,Eric Hacker
6,49,18,0,2.0,0.171,5,0,29,Brandon Beachy
5,71,27,0,2.8,0.223,3,0,29,Lance Lynn
1,3,2,0,6.0,0.25,0,0,2,Robert Carson
5,33,18,0,6.75,0.333,2,0,11,Jair Jurrjens
8,89,47,0,4.77,0.261,6,0,31,Lucas Harrell
1,13,8,0,5.27,0.255,0,0,3,Jose Contreras
3,22,9,2,3.0,0.224,1,3,13,Logan Ondrusek
7,31,20,0,7.3,0.304,3,0,15,Jhoulys Chacin
8,55,32,0,6.6,0.313,1,0,12,Daniel Hudson
1,28,15,0,4.4,0.241,2,0,15,Jamey Wright
7,73,40,0,4.11,0.229,7,0,51,Edinson Volquez
0,16,11,0,8.49,0.314,0,1,10,Mike Dunn
6,35,13,0,4.18,0.299,1,5,7,Chad Qualls
4,29,14,0,6.1,0.349,3,0,14,Chien-Ming Wang
2,27,10,0,3.46,0.265,2,0,4,Michael Fiers
2,12,7,0,4.3,0.214,1,1,10,Alex Hinshaw
10,73,39,0,4.88,0.267,5,0,22,Paul Maholm
3,21,9,0,3.74,0.247,1,0,8,Wesley Wright
10,76,39,0,4.81,0.263,4,0,28,Bud Norris
4,11,5,0,3.86,0.256,0,0,3,Fernando Abad
0,11,7,0,9.0,0.379,1,0,8,Elvin Ramirez
3,16,9,0,3.57,0.203,0,1,10,Tony Watson
