Q,O,C,A,I,S,E,R
346,341,Roberton,1213,Auckland- Whau,350,174.698538,332
181,172,Seacliffe,1221,Auckland- Devonport-Takapuna,175,174.787647,172
1006,1038,Hingaia,441,Auckland- Papakura,882,174.903703,967
339,328,Beachhaven North,1223,Auckland- Kaipatiki,335,174.691075,333
341,318,Herne Bay,1220,Auckland- Waitemata,354,174.731367,340
84,55,Northcross,481,Auckland- Upper Harbour,100,174.722963,94
1507,1329,Kohuora,96,Auckland- Otara-Papatoetoe,1475,174.833081,1492
771,748,Balmoral,1219,Auckland- Albert-Eden,808,174.745822,779
334,318,Bombay,1234,Auckland- Franklin,338,174.995081,345
306,374,Henderson South,1238,Auckland- Henderson-Massey,261,174.627079,284
271,277,Three Kings,1261,Auckland- Puketapapa,280,174.743731,276
436,442,Mangere South,544,Auckland- Mangere-Otahuhu,494,174.792438,465
324,323,Blockhouse Bay,473,Auckland- Whau,324,174.697869,331
985,944,Orakei South,61,Auckland- Orakei,1020,174.800324,1009
54,52,Royal Oak,523,Auckland- Puketapapa,51,174.760602,55
387,485,Auckland Central East,1605,Auckland- Waitemata,294,174.765196,355
536,578,Crum Park,1206,Auckland- Whau,570,174.674452,594
36,52,Panmure Basin,460,Auckland- Maungakiekie-Tamaki,26,174.854481,33
479,457,Birkdale North,1228,Auckland- Kaipatiki,464,174.700666,432
414,417,Drury,1263,Auckland- Papakura,419,174.950403,416
460,462,Wattle Farm,1247,Auckland- Manurewa,475,174.896892,470
318,340,Royal Heights,1254,Auckland- Henderson-Massey,242,174.632881,288
763,759,Bucklands Beach South,1240,Auckland- Howick,811,174.910452,803
101,112,Clevedon,1236,Auckland- Franklin,107,174.993987,105
2467,2358,Mt Eden North,54,Auckland- Albert-Eden,2509,174.768851,2456
986,987,Westlake,35,Auckland- Devonport-Takapuna,1013,174.756742,974
768,869,Birkdale South,31,Auckland- Kaipatiki,750,174.701151,779
449,447,Glendowie,1246,Auckland- Orakei,435,174.873571,449
530,518,Seacliffe,1225,Auckland- Devonport-Takapuna,568,174.789451,558
694,695,Cockle Bay,1253,Auckland- Howick,710,174.939225,708
243,240,Starling Park,1227,Auckland- Henderson-Massey,225,174.601802,224
563,644,Donegal Park,1581,Auckland- Howick,533,174.902023,564
294,284,Mangere Bridge,93,Auckland- Mangere-Otahuhu,215,174.785003,253
382,357,Bucklands and Eastern Beaches,1241,Auckland- Howick,442,174.908001,405
130,123,Walmsley,1245,Auckland- Puketapapa,151,174.720694,135
527,507,Takanini West,1255,Auckland- Papakura,541,174.911616,529
116,122,Wiri,1655,Auckland- Manurewa,189,174.877783,196
2688,2559,Avondale West,78,Auckland- Whau,2618,174.691137,2638
361,348,Clevedon,1249,Auckland- Franklin,359,175.038957,343
