HR,3B,POS,AB
0,0,SS,27
2,1,3B,218
0,0,OF,23
9,0,LF,205
4,0,SS,61
0,0,C,26
0,2,LF,162
4,1,3B,98
2,0,1B,65
7,2,C,149
0,1,LF,9
1,0,1B,137
1,1,2B,172
0,0,CF,5
0,0,LF,29
0,1,OF,128
1,2,RF,113
10,5,2B,253
3,3,RF,213
0,0,RF,172
9,1,DH,128
0,0,1B,14
2,0,C,68
1,2,3B,149
0,0,2B,8
1,1,LF,125
6,1,CF,184
5,3,2B,228
0,0,C,4
1,1,2B,217
13,2,DH,205
0,1,RF,83
0,0,SS,158
0,1,3B,98
3,0,RF,169
7,6,SS,192
7,2,3B,156
4,0,1B,177
5,1,CF,193
1,3,2B,131
0,0,DH,98
0,1,RF,88
1,0,C,64
2,2,SS,170
2,1,DH,131
3,3,3B,221
3,2,LF,225
7,1,RF,240
1,0,2B,110
3,1,2B,93
0,0,C,57
2,0,CF,158
3,4,DH,169
3,2,RF,118
