VORP,SLG,TEAM,G,oppTAv,OBP,PPF,AB,LG
-0.7,0.517,COL,22,0.264,0.323,118,87,NL
24.4,0.372,NYN,30,0.255,0.291,96,723,NL
-3.4,0.556,CHN,22,0.257,0.4,99,72,NL
7.7,0.547,TEX,17,0.266,0.356,107,247,AL
-1.5,0.0,MIN,1,0.247,0.25,117,3,AL
-3.7,0.401,CIN,63,0.265,0.351,101,207,NL
0.5,0.75,TOR,2,0.274,0.7,110,8,AL
13.5,0.341,OAK,44,0.264,0.27,96,176,AL
33.2,0.323,LAN,33,0.257,0.27,91,810,NL
-0.0,0.391,SLN,28,0.256,0.338,99,678,NL
5.2,0.344,ANA,49,0.262,0.303,96,160,AL
21.0,0.354,TOR,21,0.261,0.28,107,457,AL
3.6,0.279,BOS,23,0.266,0.3,103,68,AL
-1.7,0.414,MIA,31,0.254,0.296,94,763,NL
13.6,0.463,ANA,30,0.262,0.312,95,691,AL
-2.0,0.434,ANA,28,0.263,0.347,98,152,AL
4.2,0.393,MIL,78,0.262,0.316,108,270,NL
2.1,0.491,SFN,12,0.255,0.404,100,53,NL
-1.9,0.545,BOS,8,0.247,0.531,102,22,AL
1.8,0.553,NYA,39,0.253,0.322,103,161,AL
-4.6,0.499,BOS,18,0.267,0.34,101,385,AL
10.7,0.396,PIT,28,0.257,0.278,98,222,NL
1.4,0.464,CHN,12,0.252,0.439,102,112,NL
21.1,0.402,SLN,20,0.255,0.327,98,470,NL
13.7,0.409,MIA,19,0.259,0.308,94,460,NL
6.3,0.262,PHI,27,0.256,0.205,97,107,NL
7.5,0.374,WAS,47,0.258,0.318,103,131,NL
1.4,0.275,TBA,34,0.262,0.314,93,102,AL
-3.0,0.698,ARI,16,0.267,0.39,107,53,NL
-0.9,0.824,TOR,3,0.258,0.55,101,17,AL
4.2,0.426,SFN,32,0.257,0.332,93,707,NL
3.8,0.279,HOU,18,0.265,0.333,99,68,NL
-0.6,0.455,NYA,4,0.261,0.25,106,11,AL
-3.7,0.569,MIL,26,0.256,0.344,107,144,NL
0.5,0.462,NYA,2,0.239,0.438,109,13,AL
-3.0,1.03,BOS,2,0.278,0.529,98,33,AL
-5.6,0.471,CLE,20,0.261,0.338,100,348,AL
12.8,0.43,COL,22,0.257,0.345,120,372,NL
1.8,0.342,SEA,63,0.266,0.35,90,149,AL
-4.0,0.407,MIA,41,0.265,0.286,93,150,NL
3.4,0.348,CHA,42,0.257,0.332,106,256,AL
0.5,0.27,NYN,56,0.261,0.306,97,100,NL
1.8,0.3,CHN,14,0.262,0.36,102,40,NL
1.9,0.299,LAN,8,0.256,0.285,96,177,NL
7.2,0.304,TOR,33,0.265,0.243,104,112,AL
15.5,0.424,TEX,29,0.263,0.321,104,498,AL
4.5,0.341,SDN,64,0.263,0.286,94,214,NL
-2.5,0.585,DET,3,0.274,0.393,107,53,AL
34.3,0.357,MIL,21,0.257,0.295,107,473,NL
-2.5,0.363,SFN,73,0.264,0.293,92,245,NL
0.9,0.482,CHN,21,0.257,0.365,101,448,NL
5.8,0.33,OAK,39,0.259,0.284,94,185,AL
1.9,0.406,ATL,12,0.262,0.36,101,64,NL
1.5,0.424,SLN,3,0.263,0.296,99,66,NL
-11.0,0.527,BAL,33,0.26,0.337,106,533,AL
-0.8,0.483,MIL,9,0.251,0.424,112,58,NL
-7.2,0.493,DET,11,0.258,0.337,107,67,AL
-1.5,0.704,CHN,7,0.246,0.469,96,27,NL
0.3,0.423,TOR,13,0.257,0.326,106,123,AL
14.2,0.348,NYA,65,0.258,0.29,102,227,AL
10.0,0.38,KCA,72,0.262,0.312,102,255,AL
-5.5,0.416,SDN,25,0.256,0.345,95,125,NL
-0.7,0.524,NYA,4,0.258,0.417,105,21,AL
10.6,0.377,SDN,18,0.255,0.294,93,345,NL
-8.8,0.472,CHN,34,0.261,0.386,104,144,NL
3.5,0.302,ATL,64,0.265,0.3,100,205,NL
-0.8,0.667,CHA,3,0.26,0.286,99,6,AL
3.1,0.288,BAL,12,0.256,0.273,105,132,AL
-4.5,0.577,CLE,12,0.261,0.393,99,52,AL
9.2,0.382,OAK,24,0.263,0.297,96,382,AL
25.4,0.361,PIT,31,0.255,0.307,95,767,NL
1.9,0.407,SLN,24,0.258,0.333,98,413,NL
-1.7,0.737,SLN,9,0.249,0.39,97,38,NL
10.3,0.459,ARI,22,0.256,0.323,102,418,NL
4.9,0.432,BOS,21,0.261,0.32,104,493,AL
4.6,0.38,ARI,32,0.256,0.325,103,736,NL
