Date,GmSc,ORB%,DRB%,Age,TS%,Tm,ORtg
1999-12-14,3.3,0.0,42.7,30-096,.667,DAL,107
2000-01-17,0.7,0.0,0.0,30-130,1.000,DAL,80
2000-01-27,6.0,6.9,32.8,30-140,.563,DAL,100
1999-11-27,1.1,11.1,9.8,30-079,.333,DAL,86
2000-04-13,0.4,0.0,26.7,30-217,.174,DAL,29
1999-11-29,4.8,9.9,19.4,30-081,.508,DAL,92
1999-11-04,5.6,6.1,24.2,30-056,.500,DAL,85
1999-12-08,3.7,0.0,7.7,30-090,.509,DAL,107
2000-02-24,2.0,15.0,11.2,30-168,.233,DAL,64
2000-02-28,6.8,14.6,13.0,30-172,.799,DAL,104
2000-04-06,2.0,0.0,13.9,30-210,.644,DAL,132
2000-03-14,3.8,8.7,25.0,30-187,.273,DAL,77
1999-11-23,3.5,6.1,0.0,30-075,.750,DAL,157
2000-03-28,-1.5,0.0,18.0,30-201,.333,DAL,40
2000-04-18,4.0,0.0,30.8,30-222,.333,DAL,64
2000-04-02,3.9,17.1,41.1,30-206,.694,DAL,114
2000-01-15,5.6,0.0,10.1,30-128,.750,DAL,158
2000-03-06,3.0,11.9,0.0,30-179,.694,DAL,124
1999-12-26,8.5,21.3,25.8,30-108,.434,DAL,102
1999-11-02,3.3,10.9,30.0,30-054,.500,DAL,82
1999-11-17,2.0,0.0,11.5,30-069,.500,DAL,82
2000-03-18,0.9,0.0,18.6,30-191, ,DAL,218
2000-03-23,1.0,18.4,25.7,30-196,.190,DAL,70
2000-02-06,5.0,50.5,29.1,30-150,.725,DAL,138
2000-01-25,2.0,0.0,0.0,30-138,1.000,DAL,200
1999-12-27,3.5,0.0,13.6,30-109,.333,DAL,98
1999-12-02,3.4,13.4,16.9,30-084,.355,DAL,81
2000-03-27,1.5,66.2,22.3,30-200,.500,DAL,143
1999-11-20,-0.5,0.0,16.5,30-072,.333,DAL,38
2000-02-26,1.7,0.0,0.0,30-170,1.000,DAL,200
2000-01-29,4.9,0.0,16.1,30-142,.546,DAL,89
2000-03-11,-0.3,37.9,17.8,30-184,.167,DAL,70
