DRtg,Opp,TS%,Rk,ORtg
89,BOS,.291,11,75
109,DET,.000,15,0
111,SEA,.444,55,103
108,SAS,.266,8,55
108,NYK, ,20, 
105,BOS,.000,4,23
95,UTA,.667,21,138
95,MIN,.717,49,156
109,TOR,.470,51,93
132,GSW,.521,38,88
94,CHI,.250,47,53
107,LAL,.000,37,0
121,MEM,.410,58,94
92,DAL,1.000,10,201
100,PHI, ,50,0
103,CLE,.500,63,140
115,NJN,.323,33,50
97,DET,.665,29,160
106,HOU,.500,16,115
127,TOR,.333,69,69
84,MIL,.425,68,121
138,POR,.371,54,86
114,CLE,.250,41,64
116,PHO,.488,57,108
101,CLE,.258,3,36
90,NOK,.521,48,105
105,MIA,.685,73,141
106,POR,.532,45,127
114,CLE,.333,18,90
81,ATL,1.136,34,240
123,NYK,.904,30,182
111,DAL,.667,23,159
109,MIL,.439,62,102
128,MIA,.174,43,42
101,NOK,1.000,7,200
95,ATL,.512,35,111
98,PHI,.000,44,19
103,LAL,.667,25,114
135,SAC,.515,53,109
97,HOU,1.031,46,150
115,PHI,.906,65,193
108,SAC,.600,60,99
