Team,3PM,RPG,FG%,SPG
TU,0.1,1.4,0.345,0.0
TU,1.2,5.2,0.404,0.7
TU,0.2,0.1,0.8,0.1
TU,0.6,1.0,0.5,0.4
TU,1.4,2.9,0.427,1.5
TU,3.2,4.1,0.446,1.6
TU,0.0,5.8,0.48,0.2
TU,1.2,3.7,0.42,1.0
TU,0.0,0.3,0.333,0.1
TU,0.1,3.4,0.412,0.4
TU,0.0,3.0,0.367,0.3
TU,0.2,2.0,0.333,0.6
TU,0.0,0.0,0.0,0.0
TU,0.1,2.4,0.354,0.3
TU,0.4,5.5,0.489,0.7
TU,0.9,2.3,0.347,0.4
TU,0.1,2.4,0.369,0.4
TU,0.5,2.3,0.389,0.6
TU,0.0,4.2,0.445,0.2
TU,0.4,4.5,0.369,0.8
TU,0.2,2.6,0.4,0.2
TU,0.7,2.7,0.346,0.7
TU,1.1,1.8,0.37,0.9
TU,0.9,1.7,0.434,0.9
TU,0.0,7.9,0.477,0.5
TU,0.0,0.2,0.25,0.2
TU,0.8,1.9,0.338,0.3
TU,0.2,3.8,0.414,0.4
TU,0.0,4.5,0.614,1.0
TU,0.4,7.0,0.483,0.7
TU,0.3,1.1,0.306,0.1
TU,1.9,1.9,0.399,0.4
