BLK,FTM,FT%,FGA,3PM,PTS,DRB,Team,FTA
7,19,0.679,82,0,89,43,FWN,28
38,14,0.341,101,0,102,90,FWN,41
2,16,1.0,65,4,98,14,FWN,16
43,245,0.74,944,84,1185,570,FWN,331
4,27,0.818,66,1,82,48,FWN,33
6,20,0.69,50,0,70,34,FWN,29
22,61,0.772,174,0,229,85,FWN,79
5,1,1.0,119,37,150,43,FWN,1
0,14,0.933,89,6,102,54,FWN,15
1,5,0.556,49,9,66,15,FWN,9
0,25,0.926,177,39,242,41,FWN,27
4,13,0.591,60,2,63,19,FWN,22
11,29,0.707,115,0,113,40,FWN,41
28,145,0.599,581,2,769,334,FWN,242
68,237,0.803,780,3,1082,324,FWN,295
7,44,0.478,113,0,154,53,FWN,92
21,24,0.828,393,92,486,138,FWN,29
20,139,0.728,339,18,517,87,FWN,191
2,7,0.538,84,17,84,17,FWN,13
0,11,0.733,149,18,135,56,FWN,15
9,23,0.657,152,15,162,66,FWN,35
49,119,0.633,789,197,916,392,FWN,188
6,18,0.857,61,1,77,32,FWN,21
33,165,0.75,555,11,688,182,FWN,220
16,9,0.643,80,2,89,45,FWN,14
3,45,0.592,368,9,374,97,FWN,76
1,25,0.806,95,22,129,20,FWN,31
22,52,0.722,193,0,230,127,FWN,72
7,113,0.825,583,37,674,96,FWN,137
14,61,0.782,284,23,338,148,FWN,78
28,18,0.5,164,0,168,99,FWN,36
49,67,0.545,298,0,357,184,FWN,123
6,51,0.671,189,5,236,58,FWN,76
41,63,0.741,385,36,451,101,FWN,85
0,32,0.889,174,21,181,38,FWN,36
37,124,0.756,569,26,696,207,FWN,164
47,139,0.772,577,14,747,343,FWN,180
9,147,0.77,646,60,883,148,FWN,191
41,173,0.718,605,0,737,286,FWN,241
5,58,0.853,252,20,304,59,FWN,68
2,64,0.842,394,47,399,88,FWN,76
3,31,0.738,100,6,103,24,FWN,42
57,164,0.808,474,50,682,269,FWN,203
0,11,0.917,58,7,62,12,FWN,12
11,594,0.83,1602,82,2066,383,FWN,716
37,145,0.751,384,0,517,164,FWN,193
35,64,0.78,469,5,517,189,FWN,82
3,69,0.734,336,48,407,93,FWN,94
1,12,0.75,85,10,80,24,FWN,16
13,308,0.732,1604,220,1710,388,FWN,421
