Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jackie Bradley,Sal,110,28,42,13,1,3,17,8,5,20,19,0.382,0.474,0.6,1.074
Drew Hedman,Sal,53,13,19,5,2,1,15,5,0,10,14,0.358,0.464,0.585,1.049
Matty Johnson,Sal,55,12,19,7,1,0,7,4,2,10,9,0.345,0.439,0.509,0.948
David Chester,Sal,6,1,2,0,0,0,1,0,0,1,1,0.333,0.375,0.333,0.708
Adalberto Ibarra,Sal,80,11,26,4,0,0,12,3,1,10,6,0.325,0.404,0.375,0.779
Michael Almanzar,Sal,155,29,50,12,0,7,26,4,4,12,23,0.323,0.38,0.535,0.916
Travis Shaw,Sal,144,29,46,10,1,11,43,6,1,20,26,0.319,0.424,0.632,1.055
Xander Bogaerts,Sal,132,21,41,12,0,6,27,2,1,17,33,0.311,0.399,0.538,0.937
Felix Sanchez,Sal,50,7,15,2,1,0,5,9,4,3,13,0.3,0.375,0.38,0.755
Shannon Wilkerson,Sal,132,20,38,7,3,2,16,15,6,6,27,0.288,0.314,0.432,0.746
Zach Gentile,Sal,11,3,3,0,0,0,0,0,0,1,1,0.273,0.333,0.273,0.606
Heiker Meneses,Sal,106,19,28,5,1,1,12,8,6,2,25,0.264,0.288,0.358,0.647
Brandon Jacobs,Sal,164,26,43,10,0,6,23,4,5,12,53,0.262,0.318,0.433,0.751
James Kang,Sal,31,1,8,1,0,0,2,0,2,2,10,0.258,0.294,0.29,0.584
Sean Coyle,Sal,148,27,37,12,0,4,24,7,1,14,47,0.25,0.358,0.412,0.771
Ryan Kalish,Sal,4,0,1,0,0,0,0,0,1,0,2,0.25,0.25,0.25,0.5
Christian Vazquez,Sal,85,15,21,8,0,2,16,0,0,17,16,0.247,0.375,0.412,0.787
Carson Blair,Sal,49,9,10,3,1,2,7,1,0,8,14,0.204,0.328,0.429,0.756
Jayson Hernandez,Sal,10,2,2,1,0,0,0,0,0,1,3,0.2,0.273,0.3,0.573
Keury De La Cruz,Sal,10,0,2,0,0,0,1,1,1,1,2,0.2,0.273,0.2,0.473
Matthew Marquis,Sal,10,1,2,0,0,0,0,0,0,0,5,0.2,0.2,0.2,0.4
Lucas LeBlanc,Sal,37,3,7,1,0,0,2,0,2,3,10,0.189,0.262,0.216,0.478
David Renfroe,Sal,11,0,1,0,0,0,2,0,0,0,5,0.091,0.083,0.091,0.174
Bryan Johns,Sal,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
