wp,Date,h,3b,Opponent
1,"Mar 24, 2012",13,0,Purdue
0,"Mar 06, 2012",7,0,UC Riverside
0,"May 05, 2012",14,0,NORTHWESTERN
0,"Apr 21, 2012",12,0,IOWA
0,"Mar 04, 2012",14,0,Cal State Fullerton
1,"Mar 09, 2012",11,0,Cal State Fullerton
0,"Apr 11, 2012",12,0,EASTERN MICHIGAN
0,"Mar 18, 2012",5,0,Wright State
0,02/12/2012,12,1,UAB
3,"Feb 19, 2012",10,0,Florida
1,"Feb 18, 2012",13,0,Florida
0,"May 12, 2012",8,0,INDIANA
0,"Apr 21, 2012",8,0,IOWA
0,"Mar 10, 2012",5,0,Utah State
0,"Mar 17, 2012",9,0,Central Michigan
1,"May 12, 2012",12,0,INDIANA
0,"Feb 25, 2012",7,0,Loyola Marymount
1,02/10/2012,8,0,Louisville
1,"Mar 31, 2012",10,0,OHIO STATE
1,"Apr 28, 2012",13,0,Nebraska
0,"Mar 31, 2012",21,0,OHIO STATE
0,"Apr 15, 2012",10,0,Michigan
0,"Mar 09, 2012",9,1,Charleston Southern
0,"Mar 29, 2012",11,0,BUTLER
0,"Mar 17, 2012",6,0,UIC
1,02/10/2012,6,0,FIU
0,"Mar 03, 2012",10,0,Southern Miss
0,"Apr 01, 2012",11,0,OHIO STATE
0,"Apr 24, 2012",8,1,Notre Dame
