Rk,GmSc,ORtg,TOV%,DRtg,eFG%,MP,Date,AST%
36,-2.5,0,50.0,103,.000,13:46,2006-03-26,0.0
21,9.2,156,0.0,117,.667,13:42,2006-02-22,13.5
47,11.9,128,8.5,99,.556,29:20,2006-04-17,0.0
30,-5.0,20,29.1,101,.000,12:42,2006-03-12,0.0
2,0.0, , ,135, ,0:50,2006-01-14,0.0
46,12.1,140,10.4,107,.667,23:06,2006-04-16,0.0
42,11.0,168,0.0,111,.750,24:47,2006-04-08,6.0
23,-0.7,53,36.2,101, ,12:16,2006-02-26,0.0
10,6.6,98,12.5,82,.429,20:22,2006-01-30,7.6
33,-0.9,39,0.0,109,.000,11:21,2006-03-19,0.0
6,-0.4,0,0.0,92,.000,1:40,2006-01-21,0.0
38,8.9,160,0.0,111,.800,23:15,2006-04-01,0.0
11,8.1,155,0.0,85,1.000,23:10,2006-02-01,0.0
15,6.4,157,0.0,107,.667,18:08,2006-02-08,10.7
17,1.3,75,21.0,100,.000,10:13,2006-02-11,14.2
7,-0.9,59,33.3,69,.500,5:17,2006-01-24,0.0
32,5.7,96,31.6,87,1.000,13:53,2006-03-17,0.0
37,4.1,147,0.0,119,.600,7:25,2006-03-29,0.0
1,0.0, , ,127, ,0:56,2006-01-12,0.0
22,5.4,134,23.1,96,1.000,9:35,2006-02-24,0.0
35,6.3,82,12.9,70,.600,15:08,2006-03-24,0.0
16,3.5,177,0.0,120,1.000,14:07,2006-02-10,0.0
3,0.9,55,0.0,99,.000,8:36,2006-01-15,34.9
8,0.0, , ,122, ,0:22,2006-01-25,0.0
12,3.4,89,0.0,108,.400,18:45,2006-02-02,10.7
31,4.5,144,0.0,92,.667,11:11,2006-03-14,0.0
5,2.8,52,100.0,80, ,10:06,2006-01-20,0.0
