Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Aneury Tavarez,Gre,125,479,56,123,28,7,7,55,29,15,21,140,0.257,0.295,0.388,0.683
Shannon Wilkerson,Por,124,465,76,110,23,6,4,37,24,14,53,101,0.237,0.318,0.338,0.655
Matty Johnson,3 Teams,82,299,32,77,11,4,0,27,19,13,25,47,0.258,0.317,0.321,0.638
Henry Ramos,Sal,129,469,69,118,27,7,12,55,11,12,55,100,0.252,0.33,0.416,0.745
Garin Cecchini,PorSal,129,454,80,146,33,7,7,61,23,10,94,86,0.322,0.443,0.471,0.915
Felix Sanchez,SalGre,75,247,41,52,6,0,1,15,27,10,16,92,0.211,0.284,0.247,0.531
Jackie Bradley Jr.,Paw,80,320,57,88,26,3,10,35,7,9,41,75,0.275,0.374,0.469,0.842
Keury De La Cruz,Sal,133,535,65,138,36,6,9,89,16,9,31,130,0.258,0.297,0.398,0.696
Jose Vinicio,Gre,107,391,44,75,14,4,1,26,21,9,12,108,0.192,0.225,0.256,0.481
Manuel Margot,Low,49,185,29,49,8,2,1,21,17,8,22,39,0.265,0.341,0.346,0.687
Heiker Meneses,PawPor,110,376,46,95,15,5,3,36,13,8,25,96,0.253,0.312,0.343,0.655
Jhon Nunez,DSL,60,200,32,48,6,3,0,16,16,8,26,23,0.24,0.333,0.3,0.633
Blake Swihart,Sal,103,376,45,112,29,7,2,42,7,7,41,63,0.298,0.366,0.428,0.794
Jeremy Hazelbaker,Paw,121,428,62,110,13,2,11,54,37,7,36,131,0.257,0.313,0.374,0.687
Wendell Rijo,LowGCL,52,184,29,51,16,1,0,20,15,6,22,32,0.277,0.367,0.375,0.742
Deiner Lopez,LowGCL,53,188,27,46,7,4,0,17,13,6,15,43,0.245,0.321,0.324,0.645
Cody Koback,SalGre,115,413,50,104,16,4,0,39,16,6,35,74,0.252,0.326,0.31,0.636
Luis Alexander Basabe,DSL,60,209,49,47,13,2,1,19,18,5,49,58,0.225,0.385,0.321,0.705
Derrik Gibson,Por,88,260,40,65,16,1,2,22,12,5,37,61,0.25,0.348,0.342,0.69
Franklin Guzman,DSL,64,240,34,61,8,5,2,31,12,5,22,44,0.254,0.323,0.354,0.678
Ryan Dent,PawPor,72,219,29,53,7,0,3,23,11,5,18,52,0.242,0.303,0.315,0.618
Kendrick Perkins,GreLow,62,220,23,49,13,1,3,23,8,5,16,77,0.223,0.282,0.332,0.613
Raiwinson Lameda,DSL,56,200,27,44,10,3,0,19,8,5,15,35,0.22,0.282,0.3,0.582
Justin Henry,Paw,102,357,43,75,17,2,2,36,9,5,40,57,0.21,0.294,0.286,0.58
Mookie Betts,SalGre,127,462,93,145,36,4,15,65,38,4,81,57,0.314,0.417,0.506,0.923
