Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jeremias Pineda,GCL,36,133,20,56,9,3,0,22,14,7,5,22,0.421,0.447,0.534,0.981
Jose Colorado,GCL,53,185,33,53,17,1,1,30,15,7,28,35,0.286,0.382,0.405,0.787
Nick Moore,GCL,50,175,33,44,6,2,3,24,8,1,32,46,0.251,0.367,0.36,0.727
Cleuluis Rondon,GCL,47,182,19,42,10,6,0,16,2,2,9,42,0.231,0.27,0.352,0.622
Mike Meyers,GCL,30,92,12,31,10,0,1,10,2,0,7,36,0.337,0.384,0.478,0.862
Deiner Lopez,GCL,37,116,17,31,8,0,0,12,7,2,10,25,0.267,0.341,0.336,0.677
Tzu-Wei Lin,GCL,29,110,21,28,5,1,0,16,4,2,16,28,0.255,0.341,0.318,0.659
Kevin Mager,GCL,32,117,7,24,6,1,0,17,0,1,9,21,0.205,0.285,0.274,0.558
Iseha Conklin,GCL,38,112,13,23,5,1,1,13,2,1,8,44,0.205,0.283,0.295,0.578
Nathan Minnich,GCL,27,95,13,22,5,1,0,17,0,0,21,34,0.232,0.367,0.305,0.672
David Sopilka,GCL,31,107,9,21,2,0,0,8,0,0,8,17,0.196,0.259,0.215,0.474
Jake Davies,GCL,20,68,12,19,7,0,1,9,2,0,9,9,0.279,0.372,0.426,0.798
Jesus Loya,GCL,12,40,4,17,3,0,0,7,4,0,0,2,0.425,0.425,0.5,0.925
Miguel Rodriguez,GCL,31,93,9,17,6,0,0,10,1,1,7,23,0.183,0.245,0.247,0.492
Keaton Briscoe,GCL,33,100,18,16,2,1,0,14,3,1,19,40,0.16,0.287,0.2,0.487
Kevin Heller,GCL,12,38,11,10,3,0,0,2,0,1,6,8,0.263,0.364,0.342,0.706
Beau Bishop,GCL,16,53,9,10,1,0,0,6,0,0,3,16,0.189,0.232,0.208,0.44
Kolbrin Vitek,GCL,4,11,4,3,1,0,0,2,0,0,2,0,0.273,0.357,0.364,0.721
Carl Crawford,GCL,5,14,2,3,1,0,0,0,0,1,5,4,0.214,0.421,0.286,0.707
Carlos Coste,GCL,12,22,2,3,0,0,0,2,0,0,0,11,0.136,0.208,0.136,0.345
Jacoby Ellsbury,GCL,4,10,3,2,1,0,1,3,0,0,4,3,0.2,0.429,0.6,1.029
Ynoel Aguero,GCL,5,14,3,2,2,0,0,2,0,0,1,6,0.143,0.188,0.286,0.473
Shaq Green-Thompson,GCL,13,39,3,0,0,0,0,1,1,1,8,37,0.0,0.17,0.0,0.17
