Tm,G,GmSc,Age,BLK%,TS%,Date,TRB%,USG%
SAC,7,1.9,24-294,26.1,.568,1989-11-16,13.0,8.8
SAC,4,1.0,24-286,0.0,.333,1989-11-08,14.8,14.4
SAC,13,2.9,24-308,0.0,1.136,1989-11-30,52.7,12.3
SAC,17,1.3,24-320,6.2,.667,1989-12-12,9.9,22.0
SAC,27,3.3,24-354,6.9,.375,1990-01-15,0.0,37.6
SAC,18,0.7,24-323,27.3, ,1989-12-15,0.0,0.0
SAC,61,-0.7,25-081,0.0,.340,1990-04-17,8.2,19.6
SAC,16,0.9,24-317,0.0,.500,1989-12-09,14.1,22.8
SAC,21,1.7,24-331,0.0,.500,1989-12-23,19.5,30.7
SAC,51,2.9,25-054,3.7,.667,1990-03-21,4.0,10.0
SAC,52,1.7,25-056,0.0,1.000,1990-03-23,0.0,29.0
SAC,28,7.2,24-355,0.0,.850,1990-01-16,5.6,17.0
SAC,36,-0.7,25-007,0.0,.000,1990-02-02,14.3,22.3
SAC,49,4.0,25-046,0.0,.420,1990-03-13,17.2,15.7
SAC,14,0.0,24-310,7.5,.000,1989-12-02,17.9,8.0
SAC,50,-0.4,25-048,0.0,.000,1990-03-15,45.3,40.1
SAC,39,1.4,25-020,0.0,.500,1990-02-15,18.2,42.3
SAC,20,-0.4,24-330,0.0, ,1989-12-22,0.0,0.0
SAC,40,0.9,25-022,0.0,.500,1990-02-17,4.7,6.7
SAC,10,4.7,24-300,3.3,.444,1989-11-22,15.3,21.8
SAC,59,-0.6,25-076,0.0,.250,1990-04-12,3.2,10.1
SAC,5,9.9,24-288,5.0,.575,1989-11-10,15.7,20.0
SAC,43,1.3,25-027,0.0,.500,1990-02-22,9.3,14.4
