G,RBI,BB,AB,SO,H
2,0,0,0,0,0
4,0,0,0,0,0
7,0,0,15,13,0
104,61,46,423,71,123
73,31,48,220,27,67
45,17,22,170,25,52
3,2,0,12,1,2
118,51,58,397,54,119
96,46,24,340,79,79
25,6,8,97,9,22
48,15,31,185,36,57
3,1,0,10,1,4
48,25,39,151,45,31
58,20,30,251,58,77
1,0,0,1,0,0
13,0,0,0,0,0
2,1,0,8,1,3
4,4,1,15,5,4
8,0,0,0,0,0
24,14,19,87,9,27
15,2,2,46,4,10
65,33,30,242,58,70
95,60,12,346,44,96
120,103,55,452,85,132
95,78,24,384,64,118
4,0,0,0,0,0
7,4,2,30,3,4
15,10,7,59,8,17
7,1,3,20,4,3
23,4,11,58,7,18
17,0,0,0,0,0
33,14,20,92,17,23
16,5,7,44,13,11
78,29,25,269,48,66
6,0,2,8,5,0
1,0,0,0,0,0
45,18,6,163,54,40
8,1,1,13,3,3
2,0,0,0,0,0
109,62,38,392,99,116
12,0,0,0,0,0
133,57,44,542,63,153
11,0,0,0,0,0
76,32,19,281,82,76
54,29,25,208,47,65
27,7,11,83,13,19
27,4,10,78,20,17
3,0,0,3,3,0
4,0,1,5,2,0
62,10,20,216,64,40
94,45,19,366,65,91
110,29,65,416,91,103
3,0,0,2,1,0
9,3,3,28,2,5
3,0,0,8,3,2
2,2,0,11,0,2
92,35,15,310,60,72
63,34,23,195,60,39
6,0,1,10,3,2
40,13,13,132,41,30
27,6,16,103,6,32
5,0,1,9,7,0
5,2,3,16,3,2
99,55,58,376,50,107
9,0,0,0,0,0
24,6,4,79,14,26
42,17,6,144,33,32
74,7,8,180,28,39
83,35,22,288,66,67
10,0,0,1,0,0
112,28,25,392,36,123
49,17,18,202,24,52
1,0,1,1,0,0
2,0,0,0,0,0
42,12,6,160,28,33
7,0,0,12,3,1
119,96,41,477,67,158
50,14,18,163,40,32
1,1,0,3,0,3
44,26,24,156,26,50
6,0,0,1,0,0
47,10,16,127,26,30
55,18,26,166,29,34
123,66,28,495,105,141
119,46,54,393,41,98
60,13,31,172,33,35
3,0,0,7,4,0
93,28,37,339,81,73
1,0,0,0,0,0
87,27,30,246,46,69
130,50,27,561,73,173
134,79,47,515,108,151
83,63,23,298,84,73
4,0,0,3,1,1
96,62,38,355,117,94
79,24,39,266,57,71
17,0,0,0,0,0
118,71,26,440,103,131
60,30,18,214,37,57
18,9,11,65,18,23
6,0,0,0,0,0
9,0,2,15,10,1
2,1,0,4,1,1
118,83,54,453,149,125
10,3,3,43,6,13
23,11,4,65,9,12
42,27,10,163,32,46
6,0,0,9,3,3
120,71,50,462,103,124
92,46,23,323,77,82
2,0,0,0,0,0
100,42,30,318,70,66
8,1,1,27,9,3
65,20,16,252,52,57
32,4,2,90,15,22
136,95,60,523,109,148
42,18,19,133,25,39
5,2,2,18,4,3
5,2,0,10,6,2
1,0,0,1,0,1
2,0,0,1,1,0
10,4,2,13,3,3
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
126,51,50,457,63,134
52,19,22,207,49,58
