MP,eFG%,AST%,STL%,Age,Date,ORB%,GS,USG%
8:00,1.000,0.0,0.0,25-174,1996-02-24,0.0,0,11.9
9:00,.333,12.5,11.2,25-224,1996-04-14,0.0,0,14.8
11:00,.000,0.0,0.0,25-149,1996-01-30,0.0,0,10.6
11:00,.400,0.0,4.5,25-069,1995-11-11,15.3,0,18.1
23:00,.500,12.0,2.2,25-077,1995-11-19,24.8,0,14.4
7:00,1.000,27.1,0.0,25-072,1995-11-14,0.0,0,18.5
17:00,.333,28.1,6.0,25-124,1996-01-05,24.2,0,20.1
12:00,.833,14.3,0.0,25-065,1995-11-07,0.0,1,16.3
4:00,.000,0.0,0.0,25-104,1995-12-16,0.0,0,10.9
15:00,.714,8.9,3.1,25-143,1996-01-24,7.0,0,24.1
3:00, ,0.0,0.0,25-101,1995-12-13,0.0,0,0.0
12:00,.167,0.0,0.0,25-100,1995-12-12,0.0,0,22.3
7:00,.667,0.0,0.0,25-110,1995-12-22,18.0,0,17.9
4:00,1.000,0.0,0.0,25-128,1996-01-09,0.0,0,11.7
21:00,.800,0.0,2.7,25-217,1996-04-07,5.7,0,15.8
4:00, ,0.0,0.0,25-193,1996-03-14,36.4,0,0.0
4:00,.250,0.0,13.2,25-198,1996-03-19,27.9,0,45.9
21:00,.571,36.8,2.3,25-093,1995-12-05,5.2,0,21.0
3:00, ,0.0,0.0,25-196,1996-03-17,0.0,0,0.0
21:00,.250,5.8,0.0,25-087,1995-11-29,13.7,0,15.1
14:00,.429,11.9,0.0,25-121,1996-01-02,14.3,0,22.3
20:00,.400,0.0,11.9,25-226,1996-04-16,6.3,0,17.6
4:00,.000,0.0,0.0,25-212,1996-04-02,23.5,0,22.4
1:00, ,0.0,0.0,25-111,1995-12-23,0.0,0,0.0
26:00,.250,11.1,0.0,25-228,1996-04-18,9.0,0,16.6
17:00,.250,0.0,0.0,25-173,1996-02-23,5.5,0,15.9
12:00,.600,0.0,0.0,25-118,1995-12-30,9.5,0,24.1
16:00,.400,0.0,0.0,25-178,1996-02-28,0.0,0,13.9
11:00,.250,0.0,0.0,25-098,1995-12-10,0.0,0,21.0
26:00,.200,5.9,3.8,25-061,1995-11-03,18.5,1,17.1
4:00,.667,0.0,0.0,25-154,1996-02-04,30.8,0,36.0
1:00, ,0.0,0.0,25-206,1996-03-27,0.0,0,0.0
9:00,.333,0.0,0.0,25-157,1996-02-07,13.3,0,19.6
23:00,.400,0.0,2.3,25-215,1996-04-05,9.7,0,12.0
15:00,.500,0.0,0.0,25-222,1996-04-12,8.0,0,6.4
27:00,.556,17.7,2.0,25-131,1996-01-12,17.8,1,22.8
18:00,.600,6.7,2.9,25-176,1996-02-26,0.0,0,12.7
