#,SPG,FGM,RPG,PPG,DRB,MPG,BPG,FGA
35,0.4,1.6,3.8,4.3,3.1,18.1,0.1,3.9
14,0.9,2.8,2.0,8.9,1.7,23.4,0.1,6.6
98,0.3,1.6,3.2,4.7,2.0,16.6,0.0,3.9
23,0.8,3.2,1.8,9.6,1.5,25.1,0.0,7.5
96,0.5,2.3,3.7,6.1,2.5,17.2,0.2,5.2
34,1.0,2.6,2.3,6.5,1.8,18.0,0.2,6.1
69,0.8,1.5,2.1,4.5,1.8,20.5,0.0,4.2
13,1.2,4.5,3.2,12.5,2.2,29.2,0.2,9.6
77,0.4,2.6,3.1,6.8,1.8,20.3,0.8,4.8
76,0.8,4.6,6.4,13.1,4.1,29.0,0.2,9.9
24,0.8,4.7,3.1,11.8,2.5,27.5,0.1,9.8
11,1.2,5.7,2.7,15.9,2.1,31.1,0.1,13.8
79,0.7,3.2,5.3,9.1,3.5,19.0,0.5,6.5
22,1.1,3.0,2.7,9.4,2.2,21.3,0.2,6.8
41,0.9,2.7,3.1,7.6,2.4,26.6,0.0,6.8
56,0.8,3.9,1.9,11.7,1.6,24.2,0.1,8.1
48,0.9,4.1,5.6,11.6,3.3,26.6,0.5,8.4
88,0.6,2.8,4.5,7.3,2.6,16.9,1.5,5.5
28,1.3,3.6,1.8,10.7,1.4,29.9,0.1,8.4
39,1.3,3.7,4.5,11.7,3.5,26.0,0.8,8.8
90,0.4,3.0,3.8,8.1,2.7,20.3,0.3,5.2
6,0.6,2.6,1.7,7.8,1.2,20.5,0.2,5.8
94,0.8,2.9,6.0,7.6,3.6,20.5,0.7,5.7
89,0.7,3.2,4.1,7.8,2.5,19.1,0.3,6.2
84,0.8,2.3,3.0,5.7,1.7,17.3,0.2,4.9
72,0.6,2.1,1.8,6.1,1.5,21.5,0.0,5.4
5,1.0,3.6,2.8,10.6,2.2,27.1,0.1,8.0
7,0.5,2.4,2.2,6.7,1.8,20.2,0.0,5.7
18,0.8,2.4,1.6,7.3,1.4,18.6,0.0,5.4
15,0.9,2.9,2.9,7.3,2.1,19.4,0.2,5.0
