Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Derrik Gibson,Por,88,260,40,65,16,1,2,22,12,5,37,61,0.25,0.348,0.342,0.69
Dan Butler,Paw,84,282,32,74,19,0,14,45,1,1,34,59,0.262,0.35,0.479,0.829
Brandon Jacobs,PorSal,84,299,46,74,25,1,11,44,10,4,33,90,0.247,0.335,0.448,0.783
Boss Moanaroa,Gre,84,277,26,48,13,1,4,29,0,0,40,107,0.173,0.28,0.271,0.55
Brock Holt,Paw,83,291,35,75,6,0,3,24,8,3,30,54,0.258,0.327,0.309,0.636
Kevin Mager,GreLow,82,286,40,79,16,3,3,42,3,0,39,73,0.276,0.368,0.385,0.752
Matty Johnson,3 Teams,82,299,32,77,11,4,0,27,19,13,25,47,0.258,0.317,0.321,0.638
Nick Moore,GreLow,81,261,27,46,9,1,3,23,10,2,32,126,0.176,0.271,0.253,0.524
Jackie Bradley Jr.,Paw,80,320,57,88,26,3,10,35,7,9,41,75,0.275,0.374,0.469,0.842
Mario Martinez,Gre,76,295,35,84,14,0,9,54,0,1,15,81,0.285,0.328,0.424,0.752
Stefan Welch,Sal,75,267,48,78,19,0,10,46,3,2,45,65,0.292,0.409,0.476,0.885
Felix Sanchez,SalGre,75,247,41,52,6,0,1,15,27,10,16,92,0.211,0.284,0.247,0.531
Drew Turocy,Gre,72,279,33,83,25,5,0,20,6,2,19,67,0.297,0.347,0.423,0.77
Ryan Dent,PawPor,72,219,29,53,7,0,3,23,11,5,18,52,0.242,0.303,0.315,0.618
Brandon Snyder,Paw,68,249,37,65,16,1,10,37,3,1,20,69,0.261,0.332,0.454,0.786
Peter Hissey,Por,68,262,35,68,15,2,3,24,17,4,22,63,0.26,0.318,0.366,0.685
Ronald Bermudez,PawPor,67,234,33,61,11,1,1,26,1,4,12,45,0.261,0.299,0.329,0.628
Matthew Gedman,Sal,65,229,30,64,12,0,7,31,6,0,19,33,0.279,0.336,0.424,0.76
Tim Roberson,SalGre,64,243,27,69,11,1,5,37,0,0,14,60,0.284,0.322,0.399,0.721
Franklin Guzman,DSL,64,240,34,61,8,5,2,31,12,5,22,44,0.254,0.323,0.354,0.678
Alex Hassan,PawGre,63,210,30,71,16,0,4,35,0,1,46,52,0.338,0.457,0.471,0.929
Victor Acosta,DSL,63,234,26,60,11,1,8,39,9,3,25,23,0.256,0.333,0.415,0.748
David Renfroe,Sal,62,216,25,48,11,2,3,31,2,2,20,50,0.222,0.292,0.333,0.626
Kendrick Perkins,GreLow,62,220,23,49,13,1,3,23,8,5,16,77,0.223,0.282,0.332,0.613
Jordan Weems,Gre,61,201,15,41,8,0,0,13,2,1,25,60,0.204,0.301,0.244,0.545
