K,N,L,P,C,S
17,22,9,37,Tauhoa-Puhoi,72
355,439,334,457,Mangere South,494
48,42,45,42,Manukau Central,41
61,53,66,55,Royal Oak,51
320,310,284,298,Seacliffe,345
650,633,644,663,Epsom Central,684
613,481,574,532,Rothesay Bay,551
1168,919,1038,897,Edgewater,878
328,335,332,331,Herne Bay,354
142,140,147,161,Seacliffe,175
431,488,466,465,Auckland Central East,294
388,437,396,473,Beachlands-Maraetai,519
143,143,143,132,Mcleod,132
358,349,357,365,Kauri Park,364
606,515,574,476,Birkdale North,464
276,306,284,331,Mt Victoria,339
471,477,487,513,Ellerslie South,546
311,1327,642,1792,Dannemora,1832
917,951,936,952,Orakei South,1020
490,447,460,467,Flat Bush,437
396,448,413,514,Homai West,520
533,531,525,517,Seacliffe,568
429,349,394,330,Royal Heights,242
 ,83, ,115,Fairdene,254
50,41,39,66,Panmure Basin,26
1016,311,447,521,Auckland Central West,577
367,375,344,366,Otara West,383
340,316,333,344,Ardmore,321
482,534,498,495,Takanini West,541
1215,1326,1309,1461,Kohuora,1475
2490,2417,2530,2432,Mt Eden North,2509
236,242,255,226,Edmonton,226
30,19,34,14,Drury,33
511,534,526,542,Botany Downs,813
 ,582,113,614,Point View,674
2589,2613,2591,2607,Avondale West,2618
 , , , ,Northcross,27
521,479,541,400,Avondale West,342
274,254,254,226,Birdwood,202
619,618,606,630,Blockhouse Bay,598
126,117,130,92,Maungawhau,88
1432,1328,1393,1371,Freemans Bay,1433
586,417,530,324,Henderson South,261
560,505,555,508,Papakura North East,568
14,24,19,20,Mt Eden East,24
343,356,370,331,Roberton,350
696,693,696,704,Cockle Bay,710
35,242,88,338,Blockhouse Bay,324
475,485,482,458,Wattle Farm,475
98,123,112,121,Awhitu,124
946,973,944,964,Westlake,1013
565,644,598,645,North Harbour West,615
y_2004,y_2007,y_2005,y_2009,Census.Area.Unit,y_2012
314,282,312,281,Mangere Bridge,215
