Rk,BLK%,Tm,Opp,ORB%,TS%,STL%
40,0.0,BOS,SEA,0.0, ,0.0
33,0.0,BOS,CLE,34.0,.667,0.0
14,0.0,BOS,WSB,13.0,.500,0.0
29,0.0,BOS,LAL,22.3,.431,0.0
1,4.4,BOS,MIL,7.5,.410,0.0
61,0.0,BOS,NYK,8.0,.363,4.2
30,0.0,BOS,IND,0.0,.000,0.0
49,0.0,BOS,IND,0.0,.000,0.0
41,0.0,BOS,CHI,8.6,.200,9.4
58,0.0,BOS,DET,93.0,.532,0.0
12,0.0,BOS,DET,100.0,1.000,0.0
16,0.0,BOS,PHI,36.1,.470,0.0
52,0.0,BOS,ATL,0.0,.568,0.0
59,0.0,BOS,WSB,0.0,.770,0.0
38,0.0,BOS,NJN,26.1,1.064,0.0
44,4.5,BOS,CLE,7.6,.512,0.0
3,5.2,BOS,PHO,22.2,.400,0.0
48,10.4,BOS,MIA,0.0,.000,0.0
39,0.0,BOS,CHH,0.0,.532,16.1
37,0.0,BOS,PHO,46.2,.532,0.0
7,0.0,BOS,MIL,17.2,.750,6.1
34,0.0,BOS,SAC,0.0,.798,0.0
