ibb,wp,sv,ip,hbp,era,Date,l
0,2,12,6.0,0,3.42,"Apr 21, 2013",14
0,0,17,9.0,1,3.63,"May 17, 2013",20
0,2,1,9.0,0,2.62,"Feb 22, 2013",2
0,0,0,9.0,0,2.0,"Feb 16, 2013",0
0,0,17,11.0,1,3.7,"May 16, 2013",20
0,1,15,9.0,1,3.76,"May 10, 2013",20
2,1,20,12.1,2,3.75,"Jun 03, 2013",22
0,0,18,10.0,1,3.55,"May 23, 2013",20
5,37,20,571.0,52,3.75,Totals,22
0,1,1,9.0,0,2.68,"Feb 23, 2013",3
0,0,10,9.0,0,3.24,"Apr 12, 2013",12
0,0,10,8.0,1,3.38,"Apr 07, 2013",11
0,1,1,10.0,0,2.89,"Feb 17, 2013",0
0,0,7,9.0,0,2.98,"Mar 29, 2013",9
0,0,5,7.0,4,3.18,"Mar 17, 2013",8
0,0,3,9.0,1,2.52,"Feb 26, 2013",3
0,0,19,9.0,2,3.68,"Jun 02, 2013",21
0,0,6,9.0,0,3.06,"Mar 24, 2013",9
0,3,10,9.0,1,3.28,"Apr 10, 2013",11
0,0,5,9.0,1,2.75,"Mar 10, 2013",6
0,0,9,9.0,1,2.98,"Apr 02, 2013",9
0,2,4,7.0,1,2.38,"Mar 05, 2013",5
0,2,11,9.0,0,3.21,"Apr 14, 2013",12
2,0,3,9.0,0,2.35,"Mar 02, 2013",5
