SF,SH,Opp,R,HR,BB,RBI,GDP,SO,Game Date
0,0,OAK,1,1,0,5,0,1,1997-05-04
0,0,SEA,1,0,0,0,0,0,1997-08-06
0,0,KCA,2,2,0,4,0,0,1997-08-20
0,0,SEA,2,2,0,6,0,1,1997-05-08
1,0,CHA,2,1,0,6,0,0,1997-04-23
1,0,BOS,4,3,0,6,0,0,1997-04-26
0,0,TOR,0,0,0,0,0,4,1997-09-24
0,0,ANA,1,0,0,6,0,0,1997-08-16
0,0,MIN,2,1,0,1,0,0,1997-04-30
0,0,OAK,1,0,0,0,0,0,1997-05-12
0,0,NYA,2,0,1,1,0,0,1997-09-05
0,0,DET,3,2,0,3,1,0,1997-07-05
0,0,TEX,2,1,0,2,0,0,1997-07-28
0,0,SEA,0,0,0,1,0,0,1997-05-16
0,0,ATL,0,0,0,2,0,5,1997-06-14
0,0,SEA,0,0,0,0,0,4,1997-05-09
0,0,NYA,0,0,1,0,0,3,1997-06-03
0,0,BOS,1,0,0,1,0,0,1997-06-10
0,0,BOS,1,1,0,5,0,0,1997-07-17
0,0,TEX,1,0,0,2,0,1,1997-04-04
0,0,SEA,2,1,0,6,0,2,1997-05-11
0,0,TEX,3,2,0,2,0,0,1997-04-13
0,0,TEX,0,0,0,0,0,0,1997-07-22
0,0,MIL,2,2,0,4,0,2,1997-06-25
0,0,CHA,0,0,0,0,0,0,1997-04-17
0,0,NYA,0,0,0,1,0,0,1997-09-12
0,0,BOS,2,2,0,3,0,0,1997-04-27
