SB,G,2B,SO,Team,H,SF
0,6,0,6,TRI,1,0
1,44,8,40,MVS,27,0
0,47,12,48,WPT,37,3
5,52,12,22,MVS,50,2
6,18,3,17,TRI,24,1
4,55,7,22,STC,34,0
3,55,10,40,LOW,57,2
19,62,2,51,BAT,46,2
0,8,0,4,ABE,0,1
0,4,1,5,LOW,1,0
0,8,1,5,WPT,3,0
4,69,17,80,HVR,64,2
1,41,3,17,LOW,35,0
3,59,12,62,ONE,66,2
1,37,4,38,STC,21,1
20,74,11,61,VER,73,2
1,6,1,7,BRO,3,0
0,50,8,66,HVR,34,2
0,17,0,15,ABE,14,0
0,62,9,41,LOW,51,4
5,38,7,35,ABE,24,1
0,2,0,1,LOW,1,0
0,6,2,2,BRO,3,0
0,43,6,19,ABE,35,0
3,62,12,35,VER,50,1
2,39,3,26,STC,24,3
3,41,4,31,JAM,29,0
0,1,0,1,STA,0,0
6,45,5,28,VER,51,1
5,45,5,48,BRO,33,1
0,9,0,8,STA,9,0
6,67,17,67,JAM,60,0
3,23,9,13,LOW,39,2
0,12,0,9,ONE,9,0
1,25,3,27,ABE,8,1
3,32,3,27,HVR,17,1
8,56,3,31,MVS,52,1
2,46,14,25,STC,48,1
2,11,0,14,LOW,7,1
0,12,3,12,VER,9,1
7,35,3,30,VER,29,1
0,17,2,24,LOW,7,0
0,12,0,4,BRO,0,0
5,30,5,18,ABE,33,0
2,27,8,21,LOW,36,2
3,17,1,19,ABE,10,0
1,42,7,19,WPT,39,4
1,9,0,9,LOW,10,1
0,1,0,1,BRO,0,0
0,53,12,48,STC,41,3
0,3,0,3,JAM,0,0
0,2,0,1,BRO,0,0
0,65,10,41,BRO,42,3
11,64,10,39,HVR,52,1
0,34,4,16,STA,27,1
1,7,3,3,WPT,10,0
0,15,3,11,HVR,13,0
9,68,17,71,HVR,50,0
3,65,9,43,JAM,56,2
3,3,1,2,TRI,5,0
0,31,2,31,BRO,20,1
19,59,3,40,BAT,40,3
1,57,13,44,LOW,52,2
4,64,4,47,LOW,34,1
0,48,13,28,STC,45,5
2,42,6,26,BAT,30,2
5,55,4,42,MVS,39,0
3,46,2,21,JAM,22,1
12,69,12,29,ABE,74,1
0,41,5,34,WPT,33,3
8,50,4,51,HVR,29,0
8,55,6,47,ONE,53,1
1,12,1,7,WPT,4,0
1,5,0,10,ABE,3,0
2,22,2,26,JAM,14,1
0,9,0,7,JAM,4,0
5,62,9,54,HVR,64,1
5,49,7,37,ONE,43,3
24,66,8,76,STC,52,1
0,24,5,27,STA,13,1
0,73,26,62,ABE,75,5
0,45,5,20,BAT,28,1
1,5,3,3,ABE,6,1
0,38,2,26,JAM,22,1
3,46,4,31,BAT,22,2
0,30,4,28,ONE,27,0
3,70,15,42,ONE,85,1
0,5,0,4,BRO,0,0
0,7,0,6,BRO,6,0
0,23,3,17,JAM,15,3
0,12,1,11,JAM,8,1
0,6,3,7,ABE,6,0
1,12,1,10,WPT,7,0
0,11,0,9,WPT,6,0
2,31,6,28,WPT,25,1
0,60,15,58,BAT,43,2
0,12,1,11,VER,5,0
0,30,3,21,HVR,15,1
0,38,2,25,STC,24,1
0,1,0,0,ABE,1,0
4,41,8,36,STA,31,3
5,63,15,65,HVR,57,3
0,6,0,3,MVS,4,0
2,21,1,17,BAT,12,0
0,18,4,8,AUB,16,0
1,9,1,7,WPT,4,0
5,69,16,33,JAM,80,2
0,34,5,32,VER,21,0
4,56,8,48,LOW,58,4
12,63,14,42,BAT,56,1
0,3,0,3,BRO,0,0
0,2,0,2,BRO,0,0
