2B,GIDP,R,SB,BB,SLG,SF,H
0,0,0,0,0,0.0,0,0
13,20,53,19,20,0.314,6,125
9,4,73,40,58,0.311,2,98
4,0,8,0,1,0.31,0,18
6,2,14,1,11,0.427,4,36
14,5,56,22,45,0.309,1,109
17,9,37,3,26,0.498,3,65
18,6,38,3,23,0.32,3,79
5,8,9,3,4,0.25,0,26
0,0,3,0,0,0.156,0,7
3,1,9,6,3,0.317,0,17
2,1,2,1,2,0.179,1,5
17,11,48,15,37,0.373,2,98
1,0,8,2,7,0.16,1,12
0,0,6,3,5,0.333,0,5
18,13,42,4,20,0.464,2,77
17,13,55,15,20,0.397,3,116
4,5,12,1,4,0.211,2,35
1,1,2,0,5,0.194,1,12
15,1,38,18,28,0.303,1,83
18,10,68,70,29,0.385,3,141
7,8,29,10,29,0.299,1,50
18,10,42,19,33,0.287,2,79
0,1,0,0,5,0.185,0,5
1,1,11,5,10,0.241,1,21
10,7,38,11,10,0.316,3,62
0,0,1,1,1,0.0,0,0
2,0,6,0,5,0.591,1,8
17,4,41,8,39,0.456,3,71
3,3,7,0,6,0.34,1,13
