TRB%,AST%,GmSc,Rk,TOV%,STL%
14.2,0.0,6.8,45,0.0,0.0
3.7,9.2,6.8,9,0.0,0.0
0.0,0.0,-1.4,2,100.0,0.0
8.8,13.1,7.5,65,10.6,0.0
12.1,0.0,7.5,24,0.0,0.0
2.7,24.9,0.1,26,0.0,0.0
0.0,0.0,0.0,21, ,0.0
18.8,0.0,-1.6,53,0.0,0.0
15.8,0.0,-0.8,31,0.0,0.0
10.0,25.9,0.3,36,0.0,0.0
18.5,0.0,5.8,17,0.0,0.0
12.9,0.0,0.8,37,66.7,5.7
24.2,0.0,2.2,60,20.5,0.0
53.3,100.0,-0.1,51,0.0,0.0
0.0,0.0,-1.7,23,50.0,0.0
6.1,10.2,-0.3,10,34.7,0.0
6.2,0.0,14.8,38,0.0,0.0
13.1,0.0,10.5,62,0.0,0.0
0.0,0.0,1.0,32,0.0,0.0
7.4,0.0,4.3,6,0.0,0.0
14.5,0.0,0.5,39,0.0,0.0
0.0,0.0,1.9,52,0.0,0.0
0.0,0.0,5.7,14,0.0,0.0
13.9,0.0,4.1,35,21.0,0.0
18.2,11.4,2.8,7,20.5,0.0
13.3,16.7,10.4,63,13.7,3.3
7.8,0.0,1.2,43,0.0,0.0
15.9,0.0,6.2,58,16.7,7.2
