Name,Yr,Pos,G,Rush,Recv.,Punt Ret.,Kick Ret.,Int. Ret.,Plays,Total Yards,Yards/Play,Yards/G
Freddie Barnes,SR,WR,13,78,1770,117,0,0,192,1965,10.2,151.2
Willie Geter,JR,RB,13,705,407,22,0,0,230,1134,4.9,87.2
Roger Williams,SR,DB,13,0,0,0,925,17,48,942,19.6,72.5
Chris Wright,SR,WR,13,7,582,0,0,0,47,589,12.5,45.3
Chris Bullock,SR,RB,13,322,148,0,11,0,75,481,6.4,37.0
Adrian Hodges,SO,WR,13,25,417,0,14,0,49,456,9.3,35.1
Jimmy Scheidler,SR,TE,12,0,320,0,0,0,27,320,11.9,26.7
Ray Hutson,SO,WR,12,0,239,0,0,0,28,239,8.5,19.9
Justus Jones,FR,WR,8,0,143,0,0,0,13,143,11.0,17.9
John Pettigrew,FR,RB,10,24,14,0,74,0,13,112,8.6,11.2
Jahmal Brown,SR,DB,13,0,0,18,80,0,4,98,24.5,7.5
Adrien Spencer,FR,DB,13,0,0,0,0,64,1,64,64.0,4.9
Cody Basler,SR,LB,13,0,0,0,0,50,1,50,50.0,3.8
P.J. Mahone,SR,DB,8,0,0,29,17,-1,4,49,12.3,6.1
Keith Morgan,SO,DB,13,0,0,0,41,0,3,34,11.3,2.6
Tyrone Pronty,SR,WR,1,0,30,0,0,0,6,30,5.0,30.0
Zach Akenberger,SO,RB,13,0,4,0,21,0,3,25,8.3,1.9
Jerett Sanderson,SR,LB,13,0,0,13,0,11,1,24,24.0,1.8
Nick Rieke,JR,TE,13,0,23,0,0,0,2,23,11.5,1.8
Marquese Quiles,FR,DB,6,0,0,16,0,0,1,16,16.0,2.7
Dwayne Woods,FR,LB,13,0,0,0,13,0,2,13,6.5,1.0
Eugene Fells,JR,LB,13,0,0,9,0,0,1,9,9.0,0.7
Steven Dunlap,FR, ,5,0,7,0,0,0,1,7,7.0,1.4
Chris Scheidt,SO, ,5,0,7,0,0,0,1,7,7.0,1.4
Calvin Marshall,JR,DB,13,0,0,0,6,0,1,6,6.0,0.5
James Schneider,SR,LB,13,0,0,0,6,0,2,6,3.0,0.5
Nick Iovinelli,SR,P,13,-8,0,0,0,0,1,-8,-8.0,-0.6
Tyler Sheehan,SR,QB,13,-8,-1,0,0,0,74,-9,-0.1,-0.7
Team, , ,8,-20,0,0,0,0,11,-20,-1.8,-2.5
Total, , ,13,1125,4110,224,1208,141,842,6805,8.1,523.5
Opponents, , ,13,2525,2652,103,1417,73,784,6915,8.8,531.9
