DEF,MND,Type,Break,AGI
18,0,Single,168,0
46,0,Single,239,14
0,0,Multiple,153,0
20,0,Single,216,0
0,0,Multiple,68,0
0,15,Multiple,280,0
0,0,Single,221,15
84,0,Single,386,0
0,18,Multiple,273,18
0,0,Single,220,0
15,0,Multiple,108,6
76,18,Single,416,18
62,28,Single,417,28
0,0,Single,230,0
0,0,Multiple,273,11
0,0,Single,168,0
0,12,Single,188,0
0,15,Single,260,0
0,0,Single,313,0
0,12,Single,220,0
150,0,Single,534,0
0,0,Single,337,0
0,0,Single,180,0
84,15,Single,416,15
12,0,Single,144,6
25,0,Multiple,192,0
0,0,Multiple,233,0
0,0,Single,289,0
0,2,Single,56,0
12,0,Single,180,0
0,0,Single,48,0
15,0,Multiple,60,0
0,0,Single,20,0
0,0,Single,1,0
