2B,RBI,SLG,SB,AVG
2,8,0.247,1,0.185
4,5,0.476,3,0.381
2,14,0.265,3,0.186
4,24,0.371,7,0.265
5,14,0.368,1,0.241
4,19,0.331,12,0.23
2,15,0.228,9,0.189
3,7,0.219,8,0.175
4,18,0.263,7,0.242
6,10,0.323,3,0.229
7,37,0.294,2,0.25
13,27,0.503,10,0.319
9,24,0.361,9,0.314
9,30,0.338,6,0.268
5,21,0.347,9,0.284
12,57,0.493,2,0.296
4,12,0.274,0,0.159
4,5,0.289,0,0.181
0,1,0.077,0,0.077
9,27,0.312,14,0.248
1,2,0.385,2,0.231
17,37,0.437,4,0.234
11,22,0.328,20,0.235
2,8,0.252,8,0.222
0,12,0.22,5,0.202
6,5,0.31,1,0.214
13,42,0.524,1,0.372
14,28,0.307,2,0.242
1,6,0.218,2,0.158
4,11,0.304,5,0.256
8,31,0.368,11,0.277
4,7,0.321,2,0.214
12,27,0.434,8,0.28
5,7,0.283,0,0.221
10,30,0.375,12,0.301
6,15,0.278,4,0.238
7,26,0.44,5,0.295
6,20,0.402,3,0.325
1,2,0.161,1,0.143
0,3,0.146,0,0.146
9,21,0.344,3,0.226
10,16,0.37,1,0.227
0,2,0.192,3,0.077
0,1,0.095,1,0.095
1,2,0.151,1,0.132
8,27,0.392,22,0.3
5,5,0.263,2,0.202
12,29,0.333,1,0.253
6,6,0.236,2,0.169
3,19,0.206,1,0.17
7,3,0.267,5,0.189
1,0,0.133,0,0.1
4,10,0.333,5,0.25
1,3,0.109,0,0.091
8,24,0.389,2,0.269
0,9,0.356,1,0.222
10,24,0.321,8,0.241
5,9,0.236,4,0.203
15,23,0.321,2,0.241
4,3,0.348,1,0.246
12,10,0.34,8,0.269
3,5,0.195,2,0.159
0,2,0.211,0,0.211
18,40,0.434,2,0.258
2,11,0.208,3,0.188
5,6,0.313,2,0.205
12,38,0.381,4,0.258
0,3,0.143,2,0.143
5,25,0.307,0,0.235
17,25,0.346,3,0.206
10,25,0.429,3,0.294
8,22,0.283,3,0.193
7,39,0.453,9,0.283
1,0,1.0,0,0.667
11,15,0.521,12,0.347
7,12,0.199,1,0.149
13,32,0.449,7,0.326
21,50,0.494,8,0.315
