SB,3B,SLG,POS,H,SH,AB
7,2,0.272,2B,40,3,184
1,1,0.219,2B,12,2,64
0,0,0.0,C,0,0,6
1,1,0.324,C,27,0,102
16,0,0.479,SS,44,1,121
1,0,0.051,OF,2,0,39
0,0,0.212,C,26,0,146
3,1,0.4,1B,35,0,105
5,0,0.342,3B,65,5,243
0,1,0.247,OF,18,1,89
0,0,0.094,1B,3,0,32
2,1,0.466,C,64,1,189
1,0,0.194,OF,30,2,160
4,6,0.444,OF,65,1,232
19,1,0.439,SS,83,0,230
0,1,0.251,C,37,1,191
4,1,0.294,SS,55,2,218
25,1,0.442,2B,64,10,190
0,1,0.864,DH,9,0,22
3,1,0.422,C,80,0,251
0,0,0.248,C,21,1,101
0,0,0.311,3B,13,0,61
15,2,0.385,SS,71,1,226
0,0,0.197,C,12,1,76
4,0,0.366,2B,21,2,93
10,1,0.297,CF,53,11,222
4,0,0.309,2B,36,5,136
1,3,0.345,OF,46,3,174
6,2,0.357,1B,62,0,235
1,0,0.077,SS,1,0,13
4,1,0.468,OF,62,0,218
2,1,0.293,C,33,1,147
6,1,0.587,OF,37,1,138
2,0,0.346,C,14,1,52
5,0,0.198,OF,19,2,101
10,5,0.412,OF,54,3,177
1,0,0.278,1B,17,0,79
8,1,0.311,OF,56,6,241
5,1,0.3,2B,53,3,203
2,1,0.341,OF,41,0,167
0,0,0.351,C,22,3,74
7,1,0.333,SS,37,2,144
6,0,0.383,1B,35,0,141
27,5,0.31,2B,53,2,226
0,1,0.255,LF,18,0,94
0,0,0.333,1B,7,1,27
5,0,0.439,2B,17,0,57
3,0,0.383,1B,48,4,167
3,0,0.42,1B,27,2,88
16,0,0.333,OF,49,5,183
2,0,0.45,C,36,3,120
0,2,0.185,C,19,1,130
8,0,0.405,3B,79,4,257
3,0,0.193,SS,36,7,202
4,0,0.356,DH,43,1,180
9,1,0.402,3B,50,3,169
10,3,0.468,OF,75,5,250
1,0,0.241,DH,8,1,58
2,0,0.417,3B,65,0,218
0,1,0.255,C,20,9,98
3,1,0.297,C,37,0,158
21,3,0.408,CF,51,4,157
4,5,0.427,2B,55,1,206
6,0,0.409,RF,42,0,186
1,0,0.238,OF,17,0,84
6,1,0.301,SS,29,3,133
3,0,0.298,C,30,3,131
0,0,0.417,OF,7,0,36
4,1,0.459,SS,72,2,209
13,0,0.37,OF,66,0,243
2,1,0.358,RF,37,1,134
0,0,0.404,1B,62,3,193
7,1,0.414,2B,24,2,87
15,4,0.441,2B,70,3,204
2,2,0.364,2B,49,6,184
0,0,0.306,C,17,0,72
0,0,0.138,LF,4,2,29
7,1,0.366,OF,64,1,232
25,0,0.51,CF,76,0,241
3,2,0.215,OF,31,3,172
1,0,0.408,DH,35,0,142
0,1,0.236,C,12,0,72
3,0,0.224,LF,30,2,161
3,0,0.275,SS,27,3,120
3,0,0.224,OF,24,2,125
