Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
R Branyan,AKR,1B,0.25,2,8,1,2,0,0,0,0,0,2,0,0,0,0,0,0.25,0.25,0.5
L Berkman,TRN,1B,0.25,2,8,1,2,0,0,0,0,1,3,0,0,0,0,0,0.333,0.25,0.583
R Bishop,ERI,1B,0.252,67,246,42,62,11,0,9,45,28,65,6,0,1,5,6,0.337,0.407,0.743
M Rizzotti,REA,1B,0.361,77,266,48,96,25,0,16,62,40,56,1,1,0,0,5,0.452,0.635,1.087
K Smith,TRN,1B,0.168,41,131,9,22,6,0,0,5,17,49,0,0,0,0,5,0.273,0.214,0.487
M Vechionacci,TRN,1B,0.283,114,406,56,115,17,3,11,55,40,111,6,2,2,1,13,0.35,0.421,0.771
N Evans,BIN,1B,0.294,88,347,62,102,30,0,17,55,40,65,0,1,0,3,12,0.366,0.527,0.893
M Ambort,RIC,1B,0.22,47,159,18,35,7,1,3,14,9,34,0,1,0,1,6,0.265,0.333,0.598
R Widlansky,BOW,1B,0.269,74,279,28,75,16,0,5,30,18,50,0,0,1,2,9,0.327,0.38,0.707
A D'Alessio,RIC,1B,0.277,19,65,9,18,5,1,2,10,8,15,0,0,0,0,1,0.356,0.477,0.833
N Sellers,REA,1B,0.125,4,16,3,2,1,0,1,3,1,4,0,0,0,0,0,0.176,0.375,0.551
K Mahar,REA,1B,0.261,116,364,50,95,16,2,13,53,43,90,6,4,3,2,16,0.342,0.423,0.765
B Mills,AKR,1B,0.241,113,427,55,103,26,1,10,72,42,71,2,1,0,4,13,0.312,0.377,0.689
B Belt,RIC,1B,0.337,46,175,26,59,11,6,9,40,22,34,2,1,0,2,1,0.413,0.623,1.036
D Cooper,NH,1B,0.257,132,498,59,128,30,1,20,78,52,74,0,0,0,2,9,0.327,0.442,0.769
E Lis,NBR,1B,0.233,76,283,28,66,12,0,10,48,24,71,0,0,0,2,4,0.298,0.382,0.68
C Parmelee,NBR,1B,0.275,111,411,51,113,25,2,6,44,43,70,3,2,0,7,12,0.341,0.389,0.731
J Vazquez,TRN,1B,0.39,10,41,4,16,4,0,0,6,1,8,0,0,0,0,2,0.405,0.488,0.893
C Marrero,HAR,1B,0.294,141,524,73,154,28,0,18,82,43,102,1,3,0,5,16,0.35,0.45,0.8
L Anderson,POR,1B,0.355,17,62,13,22,5,0,5,16,7,16,1,1,0,2,0,0.408,0.677,1.086
R Bourquin,ERI,1B,0.238,6,21,4,5,0,0,2,2,3,9,0,1,0,0,1,0.333,0.524,0.857
W Robbins,NBR,1B,0.146,16,48,3,7,1,0,0,4,5,5,0,1,0,0,1,0.268,0.167,0.435
M Bertram,ERI,1B,0.256,94,363,44,93,24,2,10,50,25,97,3,1,0,0,9,0.311,0.416,0.727
M Fisher,BIN,1B,0.298,18,57,7,17,1,0,3,5,1,16,1,0,1,0,1,0.31,0.474,0.784
M Hague,ALT,1B,0.295,135,509,90,150,30,0,15,86,61,62,3,6,0,4,11,0.375,0.442,0.817
J Mahoney,BOW,1B,0.319,52,191,30,61,12,2,9,29,17,39,8,1,0,0,2,0.378,0.545,0.922
A Rizzo,POR,1B,0.263,107,414,66,109,30,0,20,80,45,100,7,1,0,6,6,0.334,0.481,0.815
W Vazquez,POR,1B,0.16,45,131,16,21,2,0,1,8,15,42,0,1,1,1,3,0.265,0.198,0.463
J Padron,POR,1B,0.286,47,182,15,52,10,0,0,19,10,23,2,0,1,2,6,0.323,0.341,0.664
