Description,2009,2010,2011,2012,2013,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,Line
Private defined contribution pension funds; total financial assets,3363.3,3809.5,3800.0,4185.5,5000.2,4477.8,4565.5,4761.2,5000.2,5078.8,5102.1,1
"Private defined contribution pension funds, including 403(b) plans; checkable deposits and currency; asset",5.4,4.8,8.8,8.9,8.7,8.9,9.5,9.3,8.7,8.8,8.3,2
"Private defined contribution pension funds, including 403(b) plans; total time and savings deposits; asset",5.3,4.6,4.7,4.2,4.5,4.3,4.2,4.5,4.5,4.5,4.4,3
"Private defined contribution pension funds, including 403(b) plans; money market mutual fund shares; asset",107.6,102.6,119.8,117.4,116.8,117.4,117.3,116.3,116.8,115.4,114.9,4
"Private defined contribution pension funds, including 403(b) plans; federal funds and security repurchase agreements; asset",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Private defined contribution pension funds; credit market instruments; asset,252.0,303.5,298.6,308.1,320.0,312.5,320.5,321.3,320.0,319.6,314.8,6
"Private defined contribution pension funds, including 403(b) plans; commercial paper; asset",14.1,12.4,13.5,12.4,12.6,12.9,12.6,12.9,12.6,13.4,13.8,7
"Private defined contribution pension funds, including 403(b) plans; Treasury securities; asset",70.3,96.2,104.7,125.6,139.8,131.5,136.6,138.7,139.8,141.2,140.6,8
"Private defined contribution pension funds, including 403(b) plans; agency- and GSE-backed securities; asset",67.7,71.4,60.4,65.1,69.5,65.6,67.4,68.3,69.5,68.0,66.7,9
"Private defined contribution pension funds, including 403(b) plans; corporate and foreign bonds; asset",93.2,115.1,114.0,99.6,93.3,97.2,98.8,96.5,93.3,92.5,89.3,10
Private defined contribution pension funds; total mortgages; asset,6.7,8.4,6.1,5.5,4.8,5.3,5.1,4.9,4.8,4.6,4.4,11
"Private defined contribution pension funds, including 403(b) plans; corporate equities; asset",783.3,927.6,896.6,1006.1,1256.3,1101.1,1123.1,1179.2,1256.3,1270.1,1272.1,12
"Private defined contribution pension funds, including 403(b) plans; mutual fund shares; asset",1504.7,1734.9,1696.1,1943.4,2449.5,2125.2,2176.8,2303.4,2449.5,2500.5,2508.1,13
Private defined contribution pension funds; total miscellaneous assets,705.1,731.5,775.2,797.4,844.4,808.4,814.2,827.1,844.4,860.0,879.4,14
Private defined contribution pension funds; unallocated insurance contracts; asset,327.6,340.6,341.7,356.8,383.7,366.0,368.3,374.8,383.7,390.5,396.4,15
Private defined contribution pension funds; pension fund contributions receivable; asset,25.8,27.9,29.2,29.1,29.3,29.2,29.3,29.2,29.3,29.2,29.2,16
"Private defined contribution pension funds, including 403(b) plans; unidentified miscellaneous assets",351.6,362.9,404.3,411.5,431.4,413.2,416.6,423.0,431.4,440.2,453.9,17
Private defined contribution pension funds; total financial assets,3363.3,3809.5,3800.0,4185.5,5000.2,4477.8,4565.5,4761.2,5000.2,5078.8,5102.1,18
