k,Date,e,r,po,ab
7,"Apr 05, 2012",1,7,27,38
6,"Mar 04, 2012",0,1,24,30
338,Totals,74,234,1375,1790
4,"Apr 21, 2012",2,4,24,36
13,"Mar 07, 2012",3,1,24,31
8,"Apr 07, 2012",1,6,27,36
7,"Apr 22, 2012",0,12,27,43
9,"Apr 14, 2012",0,5,27,32
7,"May 18, 2012",2,15,29,48
4,"Feb 19, 2012",2,10,27,38
5,"May 05, 2012",3,1,24,33
7,"Apr 15, 2012",1,3,27,33
9,"Mar 10, 2012",2,0,18,26
4,"May 08, 2012",2,1,24,33
5,"Mar 18, 2012",1,4,27,34
4,"May 06, 2012",0,8,27,36
5,"Mar 30, 2012",0,1,27,31
5,"May 19, 2012",0,7,27,40
15,"Mar 09, 2012",1,0,34,41
10,"May 11, 2012",2,2,27,36
4,"Apr 06, 2012",3,5,24,32
10,"Apr 18, 2012",0,4,24,33
10,"Mar 02, 2012",1,0,27,30
7,"Feb 17, 2012",0,2,25,29
3,"Mar 13, 2012",3,6,27,31
1,"Apr 27, 2012",0,4,27,30
3,"Apr 24, 2012",0,9,27,39
8,"May 17, 2012",3,9,27,37
10,"Mar 27, 2012",1,2,27,32
6,"May 13, 2012",2,9,27,38
