eFG%,Opp,ORB%,DRtg,GmSc,MP,G,Rk
.600,CLE,27.4,105,4.7,15:00,67,67
.571,DET,24.2,93,16.5,22:00,11,11
.400,ORL,15.0,113,2.6,8:00,62,62
.667,MIL,0.0,129,4.7,12:00,45,45
.400,CLE,0.0,105,-1.0,8:00,66,66
.571,ORL,0.0,129,3.5,13:00,35,35
.333,GSW,0.0,76,3.5,7:00,36,36
.500,LAL,7.4,116,6.5,15:00,56,56
.250,SAC,0.0,104,-0.3,13:00,38,38
.000,ATL,0.0,120,-1.1,3:00,63,63
.857,PHI,8.6,93,12.4,16:00,27,27
1.000,NYK,0.0,125,0.5,5:00,64,64
.500,BOS,0.0,102,2.7,14:00,9,9
.143,DET,4.0,79,2.3,26:00,13,13
1.000,LAC,0.0,115,4.1,16:00,20,20
.600,CHH,9.3,113,7.5,24:00,29,29
.600,NYK,8.5,102,1.9,29:00,19,19
.500,HOU,0.0,99,-0.8,5:00,33,33
.571,DAL,17.2,89,7.3,13:00,3,3
.000,MIL,0.0,100,0.7,3:00,73,73
 ,DET,0.0,115,0.0,2:00,44,44
.000,POR,0.0,128,-0.4,5:00,41,41
.250,PHO,9.8,119,2.1,12:00,39,39
.600,WSB,20.4,103,5.0,10:00,43,43
.500,MIA,15.0,106,2.3,8:00,70,70
.778,LAC,0.0,93,12.9,20:00,4,4
.625,SAS,10.7,113,8.7,23:00,34,34
.400,BOS,0.0,109,6.9,15:00,61,61
.000,NJN,0.0,105,-2.3,10:00,10,10
.000,GSW,12.7,111,-4.2,9:00,40,40
.667,PHO,13.6,112,0.1,11:00,7,7
.667,IND,0.0,106,2.1,23:00,18,18
.500,NYK,14.3,102,1.4,8:00,52,52
.750,CHH,20.2,131,1.9,7:00,46,46
.600,WSB,0.0,120,2.5,10:00,30,30
