Name,Pos,Location,Ht,Wt,40,Stars,Rivals Rating,Committed,Videos,Pos Rank,State Rank,Recruited By
Hunter Atkinson 3 stars,TE,"Oakwood, GAWest Hall","6'5""",250,0.0,3 stars,5.5,01/31/2014,1 video, , , 
Kendall Baker 4 stars,DT,"Atlanta, GAMarist School","6'6""",297,0.0,4 stars,5.8,07/03/2013,6 videos,10.0,14.0,Bryan McClendon
Detric Bing-Dukes 4 stars,LB,"Atlanta, GATucker","6'0""",232,0.0,4 stars,5.8,06/23/2013,6 videos,15.0,29.0,"Chris Wilson, Kirk Olivadotti"
Jeb Blazevich 4 stars,TE,"Charlotte, NCChristian","6'5""",240,0.0,4 stars,5.9, ,11 videos,1.0,4.0,John Lilly
Keyon Brown 4 stars,DE,"Wauchula, FLHardee Senior","6'3""",240,4.77,4 stars,5.9,09/26/2013,12 videos,5.0,11.0,Bryan McClendon
Lorenzo Carter 4 stars,DE,"Norcross, GANorcross","6'5""",235,4.65,4 stars,6.0,02/05/2014,19 videos,3.0,4.0,Bryan McClendon
Nick Chubb 4 stars,RB,"Cedartown, GACedartown","5'11""",218,0.0,4 stars,6.0,06/11/2013,7 videos,6.0,3.0,"Mike Bobo, Bryan McClendon"
Jake Edwards 3 stars,OL,"Franklin, GAHeard County","6'4""",271,0.0,3 stars,5.7, ,3 videos,24.0,53.0,Will Friend
Shattle Fenteng 4 stars,DB,"Hutchinson, KSHutchinson C.C.","6'2""",185,4.45,4 stars,5.9,08/09/2013,3 videos, , ,Bryan McClendon
Lamont Gaillard 3 stars,DT,"Fayetteville, NCPine Forest","6'2""",328,5.3,3 stars,5.6,07/20/2013,6 videos, ,26.0,John Lilly
Gilbert Johnson 3 stars,WR,"Homestead, FLHomestead","6'4""",190,0.0,3 stars,5.6,06/08/2013,2 videos, , ,Tony Ball
Rico Johnson 3 stars,ATH,"Atlanta, GAGeorgia Prep Sports Academy","5'11""",188,0.0,3 stars,5.7,01/20/2014,1 video, , ,Tony Ball
Shaquille Jones 2 stars,DB,"Palm Bay, FLMerritt Island","6'2""",175,4.51,2 stars,5.4,02/03/2014,1 video, , , 
Isaiah McKenzie 4 stars,WR,"Plantation, FLAmerican Heritage","5'8""",165,0.0,4 stars,5.8,02/05/2014,9 videos,35.0,42.0,Bryan McClendon
Sony Michel 5 stars,RB,"Plantation, FLAmerican Heritage","5'11""",205,4.5,5 stars,6.1,04/26/2013,27 videos,3.0,2.0,Bryan McClendon
Jacob Park 4 stars,QB,"Goose Creek, SCStratford","6'4""",210,0.0,4 stars,5.8,06/14/2013,9 videos,12.0,4.0,"Mike Bobo, John Lilly"
Malkom Parrish 4 stars,DB,"Quitman, GABrooks County","5'9""",189,0.0,4 stars,5.9,06/13/2013,9 videos,6.0,6.0,Mike Bobo
Dominick Sanders 3 stars,DB,"Atlanta, GATucker","6'0""",187,4.5,3 stars,5.6,01/27/2014,4 videos, ,69.0, 
Dyshon Sims 4 stars,OL,"Clyattville, GALowndes","6'5""",270,0.0,4 stars,5.8,02/06/2014,3 videos,18.0,19.0, 
Shakenneth Williams 3 stars,WR,"Macon, GARutland","6'2""",195,0.0,3 stars,5.7,07/12/2013,2 videos,60.0,39.0,"John Lilly, Tony Ball"
Isaiah Wynn 4 stars,OL,"St. Petersburg, FLLakewood","6'2""",269,0.0,4 stars,5.9, ,13 videos,6.0,14.0,"Will Friend, Bryan McClendon"
