TOV%,DRtg,Opp,TS%,ORtg,Tm
0.0,110,ATL,.253,83,MIN
0.0,130,TOR,.500,138,MIN
33.3,100,SEA,1.000,127,MIN
25.0,104,ORL,.333,51,BOS
0.0,100,MEM,.636,137,MIN
0.0,122,CLE,.444,110,BOS
25.0,119,TOR,.667,94,MIN
0.0,112,GSW,.926,190,MIN
 ,130,DAL, , ,BOS
31.7,114,GSW,.465,71,MIN
22.2,116,SAS,.143,38,MIN
 ,108,PHI, , ,BOS
25.0,91,SAC,.500,85,MIN
33.3,99,NOK,.000,0,BOS
29.6,112,CHA,.735,106,BOS
0.0,123,SAS,.000,0,BOS
15.1,108,HOU,.355,70,BOS
34.2,113,MEM,.608,84,MIN
0.0,118,LAL,.436,100,MIN
0.0,101,SAS,.500,98,BOS
0.0,104,CLE,1.000,203,MIN
22.3,96,MEM,.239,42,MIN
0.0,100,NJN,.286,59,MIN
5.7,121,UTA,.541,114,MIN
0.0,117,SAS,.521,114,MIN
12.5,114,CHI,.286,59,BOS
