AB,OBP,oppOBP,SLG,AGE,PA,oppOPS,VORP,oppTAv,oppSLG
14,0.55,0.333,0.857,24,20,0.726,-2.5,0.279,0.393
234,0.276,0.322,0.325,28,250,0.738,6.9,0.265,0.416
54,0.298,0.337,0.481,23,57,0.791,0.7,0.272,0.453
29,0.387,0.34,0.586,26,31,0.732,-1.6,0.27,0.393
49,0.508,0.317,0.796,34,62,0.719,-7.6,0.262,0.402
329,0.32,0.309,0.453,23,369,0.694,3.6,0.253,0.385
458,0.311,0.313,0.397,29,504,0.699,-4.8,0.257,0.386
551,0.301,0.319,0.361,27,602,0.719,11.3,0.26,0.401
613,0.294,0.313,0.377,25,662,0.702,20.9,0.257,0.389
921,0.309,0.311,0.36,36,996,0.7,28.5,0.256,0.389
190,0.354,0.321,0.395,23,225,0.726,-3.2,0.259,0.405
47,0.24,0.309,0.298,29,50,0.702,1.4,0.251,0.393
134,0.342,0.328,0.418,24,146,0.74,-0.3,0.266,0.413
484,0.289,0.309,0.39,24,540,0.691,5.7,0.254,0.382
794,0.302,0.311,0.344,27,900,0.695,11.2,0.257,0.383
80,0.356,0.323,0.438,27,90,0.715,1.0,0.263,0.392
10,0.308,0.327,0.1,25,13,0.714,-0.3,0.275,0.387
65,0.416,0.31,0.538,23,78,0.692,-3.8,0.254,0.382
180,0.327,0.326,0.439,33,202,0.739,3.5,0.266,0.414
152,0.308,0.317,0.336,23,172,0.702,6.9,0.26,0.386
72,0.266,0.323,0.25,31,79,0.727,2.1,0.268,0.403
156,0.399,0.316,0.397,32,190,0.716,3.2,0.262,0.4
168,0.197,0.319,0.256,32,179,0.717,7.3,0.263,0.398
8,0.545,0.306,0.625,24,11,0.746,-0.6,0.26,0.441
10,0.545,0.325,0.5,28,11,0.752,0.1,0.27,0.427
26,0.357,0.315,0.462,33,28,0.735,1.7,0.262,0.42
279,0.262,0.321,0.337,23,303,0.717,6.8,0.264,0.396
490,0.303,0.318,0.369,23,553,0.716,12.7,0.263,0.399
59,0.403,0.311,0.661,33,68,0.694,-4.7,0.258,0.383
303,0.352,0.312,0.469,27,339,0.716,6.9,0.257,0.404
266,0.319,0.319,0.492,25,292,0.712,2.1,0.26,0.393
760,0.325,0.321,0.455,26,832,0.727,18.5,0.261,0.406
635,0.298,0.309,0.416,23,693,0.704,6.3,0.256,0.396
55,0.354,0.324,0.491,22,66,0.74,-1.6,0.265,0.417
50,0.339,0.32,0.32,39,60,0.717,1.9,0.264,0.397
116,0.388,0.323,0.284,34,150,0.739,-2.4,0.261,0.416
100,0.327,0.321,0.36,26,115,0.725,-1.6,0.264,0.403
23,0.483,0.346,0.565,25,29,0.805,-2.0,0.278,0.459
744,0.337,0.317,0.457,30,803,0.718,11.0,0.26,0.4
76,0.318,0.318,0.289,24,88,0.695,3.0,0.261,0.377
31,0.242,0.324,0.355,24,33,0.739,1.6,0.264,0.415
683,0.314,0.325,0.391,26,777,0.739,31.5,0.264,0.414
148,0.4,0.308,0.642,22,171,0.695,-8.0,0.258,0.387
634,0.274,0.325,0.438,26,662,0.736,11.1,0.263,0.411
743,0.339,0.322,0.437,30,833,0.727,-7.1,0.26,0.405
862,0.268,0.311,0.339,32,920,0.703,45.8,0.257,0.392
171,0.289,0.324,0.415,36,191,0.734,3.4,0.262,0.41
122,0.328,0.324,0.385,29,139,0.743,2.5,0.267,0.418
86,0.388,0.323,0.558,25,99,0.732,-3.9,0.266,0.409
217,0.289,0.316,0.309,23,252,0.717,5.7,0.261,0.4
18,0.316,0.306,0.5,26,19,0.677,-0.1,0.252,0.372
168,0.197,0.324,0.262,28,175,0.724,11.5,0.264,0.4
701,0.312,0.318,0.374,25,772,0.726,26.4,0.261,0.407
610,0.331,0.317,0.461,30,660,0.72,-9.1,0.261,0.402
32,0.333,0.324,0.469,22,33,0.755,1.9,0.264,0.43
822,0.318,0.32,0.349,26,908,0.72,38.6,0.259,0.401
120,0.403,0.313,0.7,38,133,0.704,-6.7,0.257,0.391
382,0.34,0.308,0.401,27,427,0.693,-1.7,0.254,0.385
190,0.341,0.313,0.379,27,226,0.695,0.7,0.256,0.382
57,0.435,0.309,0.632,32,63,0.684,-2.8,0.252,0.375
20,0.417,0.326,0.55,27,24,0.737,-0.8,0.266,0.411
96,0.358,0.316,0.365,25,110,0.715,1.7,0.26,0.399
177,0.364,0.322,0.492,26,197,0.737,-3.3,0.264,0.415
245,0.338,0.311,0.351,28,276,0.698,11.2,0.258,0.386
33,0.372,0.327,0.364,32,43,0.767,-2.3,0.264,0.44
25,0.462,0.301,0.52,26,26,0.69,2.2,0.246,0.389
381,0.307,0.326,0.459,22,405,0.748,-1.7,0.269,0.422
56,0.279,0.308,0.446,26,61,0.682,-0.9,0.254,0.374
206,0.284,0.328,0.311,29,223,0.745,11.5,0.266,0.417
143,0.335,0.308,0.329,30,167,0.696,-0.2,0.252,0.389
92,0.237,0.317,0.337,32,98,0.724,3.0,0.264,0.407
22,0.407,0.327,0.364,33,27,0.741,2.2,0.268,0.413
21,0.4,0.326,0.524,24,25,0.745,-1.2,0.265,0.419
39,0.25,0.317,0.333,26,44,0.726,0.4,0.263,0.409
120,0.309,0.323,0.292,34,140,0.725,5.4,0.266,0.402
27,0.333,0.312,0.556,30,31,0.685,-1.9,0.255,0.373
168,0.276,0.319,0.405,35,181,0.725,1.0,0.26,0.406
232,0.351,0.325,0.414,23,265,0.739,1.8,0.264,0.413
34,0.475,0.308,0.647,24,41,0.699,-3.7,0.257,0.391
413,0.341,0.33,0.504,25,451,0.753,1.5,0.269,0.423
190,0.275,0.319,0.274,28,213,0.721,3.8,0.26,0.402
247,0.345,0.317,0.466,32,282,0.714,-2.7,0.259,0.397
898,0.265,0.319,0.365,30,953,0.724,32.3,0.26,0.405
546,0.325,0.307,0.41,33,594,0.693,12.6,0.255,0.386
233,0.34,0.319,0.339,26,268,0.72,8.9,0.265,0.401
816,0.279,0.312,0.319,26,907,0.694,24.9,0.257,0.382
805,0.329,0.313,0.415,34,903,0.708,7.8,0.258,0.395
111,0.341,0.33,0.459,24,124,0.754,0.5,0.268,0.424
26,0.412,0.312,0.423,26,34,0.714,0.8,0.26,0.403
62,0.348,0.333,0.419,32,69,0.775,1.3,0.269,0.442
61,0.392,0.313,0.344,35,75,0.699,-0.5,0.257,0.387
186,0.328,0.321,0.43,30,204,0.73,5.9,0.268,0.409
103,0.375,0.322,0.359,26,120,0.731,2.7,0.264,0.409
222,0.296,0.326,0.297,30,246,0.733,12.3,0.267,0.407
116,0.287,0.322,0.328,28,129,0.736,2.6,0.267,0.414
254,0.281,0.327,0.28,26,291,0.737,7.7,0.267,0.41
193,0.372,0.316,0.409,27,231,0.716,2.1,0.26,0.4
633,0.322,0.323,0.384,24,704,0.736,9.8,0.263,0.413
149,0.351,0.332,0.362,32,168,0.758,4.9,0.27,0.425
163,0.354,0.31,0.485,30,180,0.692,0.5,0.255,0.382
233,0.303,0.324,0.352,29,268,0.741,10.5,0.264,0.417
199,0.342,0.318,0.427,31,230,0.715,-1.5,0.262,0.398
82,0.255,0.309,0.293,32,95,0.686,2.8,0.257,0.378
138,0.323,0.325,0.333,26,160,0.744,5.2,0.265,0.419
88,0.432,0.318,0.75,27,96,0.722,-2.6,0.262,0.404
156,0.313,0.327,0.41,33,178,0.754,4.6,0.267,0.427
34,0.184,0.292,0.088,27,38,0.637,3.7,0.239,0.344
231,0.342,0.315,0.351,25,276,0.703,9.6,0.257,0.388
233,0.357,0.322,0.416,30,261,0.725,7.5,0.261,0.403
101,0.397,0.316,0.455,25,117,0.704,-5.9,0.259,0.387
789,0.259,0.308,0.337,27,850,0.691,20.2,0.255,0.383
693,0.273,0.324,0.335,31,767,0.735,26.8,0.264,0.411
107,0.281,0.32,0.364,37,122,0.722,-0.7,0.259,0.402
172,0.344,0.323,0.355,25,212,0.73,-1.3,0.261,0.406
727,0.315,0.309,0.392,23,827,0.691,9.8,0.256,0.382
509,0.296,0.325,0.391,29,548,0.741,19.1,0.265,0.416
14,0.412,0.32,0.571,28,17,0.713,-0.3,0.255,0.393
3,0.25,0.259,0.0,33,4,0.594,1.6,0.21,0.335
30,0.447,0.319,0.3,25,38,0.716,1.4,0.263,0.397
19,0.25,0.318,0.263,22,22,0.717,1.1,0.263,0.399
297,0.347,0.319,0.451,25,334,0.722,7.7,0.261,0.403
42,0.244,0.332,0.238,26,46,0.764,3.7,0.268,0.432
31,0.429,0.319,0.613,29,35,0.729,-1.0,0.26,0.409
243,0.296,0.321,0.395,27,269,0.714,1.1,0.263,0.394
109,0.308,0.31,0.339,27,118,0.713,0.3,0.261,0.404
199,0.28,0.323,0.312,40,215,0.721,12.8,0.262,0.398
411,0.299,0.322,0.321,28,474,0.727,11.0,0.262,0.405
743,0.347,0.312,0.406,38,830,0.697,15.5,0.258,0.385
857,0.262,0.317,0.336,28,926,0.717,43.1,0.26,0.399
12,0.313,0.308,0.083,23,17,0.693,-0.4,0.256,0.385
588,0.342,0.319,0.393,23,666,0.721,12.6,0.261,0.403
