MP,DRtg,TS%,Rk,Opp
4:33,75, ,2,GSW
12:33,111,.000,52,NOH
2:17,92, ,33,DEN
16:21,99,.532,36,HOU
12:49,101,.000,63,PHO
11:56,109,.000,24,SAS
18:46,112,.667,54,MIA
3:12,123, ,32,CHA
26:09,101,.765,35,WAS
15:32,122, ,49,PHI
20:23,119,.621,19,DAL
15:44,111,.840,12,HOU
23:02,137,.732,37,LAC
16:37,123,.400,11,NOH
17:43,117,.410,29,CLE
10:58,114,.000,42,POR
17:45,137,.250,41,UTA
1:06,123, ,34,OKC
3:40,118, ,26,MIN
9:46,88,.333,56,POR
31:19,101,.254,39,NOH
21:46,104,.313,53,BOS
31:11,82,.200,38,TOR
2:52,113,.000,14,CHI
2:16,111, ,31,DET
12:03,111,1.500,45,IND
15:32,122,.000,61,POR
4:03,96, ,10,LAC
