Loc #,Frequency,Emission,Class,Units,Pag,Pwr,Lat,Long,City,County,State
1,159.315,8K10F1D,FB,1,0,100.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.315,8K10F1D,FB2,1,0,100.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.315,11K2F3E,FB,1,0,100.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.315,11K2F3E,FB2,1,0,100.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.315,8K10F1E,FB,1,0,100.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.315,8K10F1E,FB2,1,0,100.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.435,8K10F1D,FB,1,0,132.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.435,8K10F1D,FB2,1,0,132.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.435,11K2F3E,FB,1,0,132.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.435,11K2F3E,FB2,1,0,132.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.435,8K10F1E,FB,1,0,132.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
1,159.435,8K10F1E,FB2,1,0,132.0,44.36533,-73.90375,WILMINGTON,ESSEX,NY
