TOV,DRB,Team,3P%,Player,FT%
2.5,4.5,DU,0.241,Rayvonte Rice,0.708
1.3,1.4,ISU,0.265,Steve McWhorter,0.581
2.7,3.3,BU,0.34,Dyricus Simms-Edwards,0.732
2.2,1.8,UNI,0.375,Deon Mitchell,0.728
1.1,1.9,MSU,0.355,Caleb Patterson,0.813
1.5,4.6,CU,0.0,Gregory Echenique,0.669
1.6,2.8,DU,0.425,Ben Simons,0.849
1.6,2.7,ISU,0.0,Myles Walker,0.593
1.6,1.6,SIU,0.314,Kendal Brown-Surles,0.692
1.7,2.8,MSU,0.328,Anthony Downing,0.821
0.9,1.6,CU,0.423,Josh Jones,0.525
1.9,1.6,CU,0.312,Antoine Young,0.739
1.5,3.9,UNI,0.379,Anthony James,0.83
0.9,2.3,DU,0.432,Jeremy Jeffers,0.783
1.5,1.8,SIU,0.355,T.J. Lindsay,0.556
1.1,2.6,UNI,0.349,Johnny Moran,0.707
1.5,4.6,DU,0.0,Jordan Clarke,0.436
2.2,2.1,ISU,0.389,Nic Moore,0.829
0.6,3.8,ISU,0.407,Jon Ekey,0.771
1.1,3.1,BU,0.232,Jake Eastman,0.702
1.2,3.0,WSU,0.348,David Kyles,0.822
1.9,2.5,WSU,0.504,Joe Ragland,0.814
1.9,1.2,UE,0.427,Denver Holmes,0.873
0.6,1.3,MSU,0.273,Nathan Scheer,0.75
0.7,1.8,ISU,0.344,R.J. Mahurin,0.686
