DB ID,Stock,Stock Long Name,Date announced,Financial Year End,Quarter,"Revenue, Quarter","Profit before tax, Quarter","Profit after tax, Quarter","Profit for share holders, Quarter","EPS, Quarter","Dividend, Quarter","Revenue, Year","Profit before tax, Year","Profit after tax, Year","Profit for share holders, Year","EPS, Year","Dividend, Year",Shares Issued (approx),Quarterly Profit Margin,Price during announcement,Relative price*
 , , , , , , , , , , , , , , , , , , , , , 
655.0,KBUNAI,KARAMBUNAI CORP BHD,2010-02-25,2010-03-31,3,"RM 38,213,000","RM -10,013,000","RM -2,058,000","RM -2,058,000",-0.10 cents,0.00 cents,"RM 98,659,000","RM -27,419,000","RM -20,226,000","RM -20,226,000",-1.00 cents,0.00 cents,"2,058,000,000",-26.2 %,0.07,1.42
1783.0,KBUNAI,KARAMBUNAI CORP BHD,2010-05-31,2010-03-31,4,"RM 45,241,000","RM -13,445,000","RM -12,973,000","RM -12,973,000",-0.64 cents,0.00 cents,"RM 143,900,000","RM -40,864,000","RM -33,199,000","RM -33,199,000",-1.64 cents,0.00 cents,"2,027,000,000",-29.72 %,0.06,1.21
2595.0,KBUNAI,KARAMBUNAI CORP BHD,2010-08-26,2011-03-31,1,"RM 24,032,000","RM -13,817,000","RM -14,386,000","RM -14,386,000",-0.71 cents,0.00 cents,"RM 24,032,000","RM -13,817,000","RM -14,386,000","RM -14,386,000",-0.71 cents,0.00 cents,"2,026,000,000",-57.49 %,0.06,1.22
3807.0,KBUNAI,KARAMBUNAI CORP BHD,2010-11-30,2011-03-31,2,"RM 30,949,000","RM -11,068,000","RM -11,779,000","RM -11,779,000",-0.58 cents,0.00 cents,"RM 54,981,000","RM -24,885,000","RM -26,165,000","RM -26,165,000",-1.29 cents,0.00 cents,"2,031,000,000",-35.76 %,0.18,3.65
4535.0,KBUNAI,KARAMBUNAI CORP BHD,2011-02-25,2011-03-31,3,"RM 40,380,000","RM -2,995,000","RM -3,591,000","RM -3,591,000",-0.18 cents,0.00 cents,"RM 95,361,000","RM -27,880,000","RM -29,756,000","RM -29,756,000",-1.47 cents,0.00 cents,"1,995,000,000",-7.42 %,0.205,4.14
5849.0,KBUNAI,KARAMBUNAI CORP BHD,2011-05-31,2011-03-31,4,"RM 30,179,000","RM -313,766,000","RM -316,765,000","RM -316,765,000",-15.60 cents,0.00 cents,"RM 125,540,000","RM -341,646,000","RM -346,521,000","RM -346,521,000",-17.07 cents,0.00 cents,"2,031,000,000",-1039.68 %,0.205,4.16
6520.0,KBUNAI,KARAMBUNAI CORP BHD,2011-08-24,2011-12-31,Other,"RM 50,389,000","RM 2,624,000","RM 1,054,000","RM 1,054,000",0.05 cents,0.00 cents,"RM 50,389,000","RM 2,624,000","RM 1,054,000","RM 1,054,000",0.05 cents,0.00 cents,"2,108,000,000",5.21 %,0.135, 
7432.0,KBUNAI,KARAMBUNAI CORP BHD,2011-11-23,2011-12-31,Other,"RM 21,731,000","RM -13,951,000","RM -16,438,000","RM -16,439,000",-0.81 cents,0.00 cents,"RM 72,120,000","RM -11,327,000","RM -15,384,000","RM -15,385,000",-0.76 cents,0.00 cents,"2,030,000,000",-64.2 %,0.175, 
8760.0,KBUNAI,KARAMBUNAI CORP BHD,2012-02-29,2011-12-31,Other,"RM 49,113,000","RM -28,884,000","RM -24,391,000","RM -24,381,000",-1.20 cents,0.00 cents,"RM 121,233,000","RM -40,211,000","RM -39,776,000","RM -39,765,000",-1.96 cents,0.00 cents,"2,032,000,000",-58.81 %,0.175, 
