MP,GmSc,AST%,Date,TOV%,BLK%
9:00,1.6,12.8,1988-03-29,0.0,0.0
1:00,0.0,0.0,1988-04-03, ,0.0
7:00,-0.2,32.7,1988-01-26,0.0,0.0
10:00,-2.5,0.0,1987-11-25,75.0,4.8
2:00,0.0,0.0,1988-02-21, ,0.0
5:00,0.9,20.4,1988-01-05,0.0,0.0
12:00,4.1,0.0,1988-04-06,0.0,4.3
9:00,1.0,12.7,1987-11-14,100.0,5.7
3:00,0.0,34.0,1988-01-04,0.0,18.8
11:00,6.0,12.4,1988-01-15,0.0,13.4
19:00,6.0,6.5,1987-12-05,0.0,10.7
25:00,12.0,16.2,1987-12-23,17.5,4.4
4:00,0.3,24.5,1988-04-05, ,0.0
17:00,7.7,6.1,1987-11-07,26.8,3.0
13:00,0.4,0.0,1988-04-21,29.1,4.1
31:00,7.8,8.6,1988-03-12,9.1,8.9
13:00,4.7,0.0,1987-11-15,22.8,0.0
7:00,3.7,0.0,1988-02-02,33.3,9.0
15:00,11.5,0.0,1987-12-30,0.0,13.2
21:00,8.8,13.5,1988-01-23,0.0,8.2
13:00,-1.1,0.0,1988-01-09,50.0,0.0
14:00,6.8,14.9,1987-11-20,0.0,6.2
15:00,0.5,0.0,1988-01-02,28.6,3.7
7:00,-1.1,16.7,1988-03-31,100.0,0.0
6:00,0.0,18.0,1987-11-17,50.0,0.0
3:00,0.0,0.0,1988-01-07, ,0.0
1:00,0.0,0.0,1988-02-24, ,0.0
12:00,12.6,0.0,1987-11-23,0.0,13.6
3:00,-1.4,0.0,1987-12-22,0.0,0.0
9:00,3.0,0.0,1987-12-12,0.0,0.0
18:00,1.7,6.7,1987-12-20,13.4,0.0
30:00,8.0,0.0,1988-03-22,0.0,1.7
15:00,6.5,0.0,1988-02-09,10.1,0.0
8:00,-0.2,13.3,1988-03-11, ,0.0
13:00,0.9,17.9,1988-04-01,0.0,0.0
18:00,3.4,0.0,1988-03-21,29.1,6.4
24:00,8.9,5.9,1988-03-25,0.0,6.7
13:00,3.1,0.0,1988-02-22,0.0,0.0
13:00,4.8,16.6,1988-04-12,0.0,0.0
