H,2B,SLG,SB,R,OBP
19,2,.276,0,4,.225
115,22,.438,6,71,.394
46,6,.320,2,29,.275
83,7,.283,15,41,.295
1,0,.059,0,0,.150
70,8,.305,3,42,.324
128,22,.425,8,65,.323
150,21,.423,16,91,.419
77,23,.409,1,38,.390
25,7,.369,0,12,.304
44,10,.398,1,25,.361
19,4,.307,1,6,.321
112,17,.397,22,54,.351
59,11,.414,0,25,.362
98,15,.344,8,50,.299
119,29,.580,4,76,.397
90,27,.403,6,54,.294
4,0,.333,0,0,.385
20,5,.486,0,9,.324
150,42,.513,17,70,.404
7,1,.364,1,5,.400
126,22,.443,4,65,.334
126,27,.433,1,64,.405
113,29,.442,11,57,.302
45,9,.511,1,30,.492
20,3,.444,0,9,.358
81,14,.432,2,45,.359
2,0,.250,0,0,.333
146,20,.348,8,61,.333
65,11,.319,0,38,.368
30,7,.333,3,26,.220
31,5,.381,0,13,.293
2,0,.364,0,1,.182
72,21,.380,4,32,.363
126,11,.313,23,70,.336
35,12,.354,3,19,.311
9,2,.297,0,5,.326
40,12,.319,1,11,.330
89,22,.439,1,57,.324
35,4,.485,2,12,.370
90,16,.380,2,37,.305
13,3,.389,0,9,.333
56,7,.284,4,41,.343
119,31,.416,21,47,.370
59,15,.404,4,35,.328
16,4,.324,0,6,.288
22,3,.429,1,8,.341
1,0,.063,2,2,.063
19,4,.329,1,17,.354
91,21,.360,8,47,.331
50,14,.420,1,34,.357
7,0,.600,0,4,.409
60,13,.310,0,26,.334
85,9,.300,18,36,.267
137,34,.506,0,60,.396
5,2,.368,0,2,.364
72,15,.265,18,35,.269
94,21,.436,2,46,.375
0,0,.000,0,0,.200
21,1,.291,0,10,.414
