Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Seth Smith,SEA,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brian Dozier,MIN,2,2,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Craig Gentry,OAK,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Mitch Moreland,TEX,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Kevin Pillar,TOR,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Dustin Pedroia,BOS,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jurickson Profar,TEX,2,0,0.0,0,0,0,0,1,0,0,0,0.0,0.333,0.333
Brandon Snyder,BAL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Abraham Almonte,CLE,1,1,1.0,0,0,1,2,0,0,0,0,4.0,1.0,5.0
Chris Colabello,TOR,1,1,1.0,0,0,1,4,0,0,0,0,4.0,1.0,5.0
Todd Frazier,CIN,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Franklin Gutierrez,SEA,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Adam Lind,MIL,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Nate McLouth,WAS,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Brad Miller,SEA,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Chris Nelson,WAS,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Steve Pearce,BAL,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Dustin Ackley,NY-A,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Zoilo Almonte, ,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Erick Aybar,ANA,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Daric Barton, ,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Adrian Beltre,TEX,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Kole Calhoun,ANA,1,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Alberto Callaspo,LA,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Alexi Casilla,DET,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Yoenis Cespedes,NY-N,1,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
