Date,USG%,Opp,ORB%,Age,GS,STL%,TRB%
2004-04-09,12.2,GSW,0.0,25-036,1,0.0,2.5
2004-03-03,7.7,DAL,0.0,24-365,1,0.0,3.0
2003-12-05,6.1,SAC,0.0,24-276,1,1.6,5.2
2004-04-12,10.3,UTA,0.0,25-039,1,0.0,0.0
2003-11-05,8.8,SAC,25.2,24-246,1,0.0,12.2
2003-11-26,9.1,NYK,0.0,24-267,1,0.0,2.7
2004-02-19,2.8,SAC,0.0,24-352,1,0.0,3.1
2004-03-09,5.5,SEA,6.7,25-005,1,0.0,5.3
2004-03-14,16.2,POR,6.6,25-010,1,0.0,7.0
2004-01-21,10.0,TOR,0.0,24-323,1,2.0,5.2
2004-03-10,12.4,POR,0.0,25-006,1,0.0,4.8
2004-01-19,12.1,NOH,0.0,24-321,1,0.0,2.7
2004-03-24,15.2,DEN,10.5,25-020,1,0.0,6.8
2004-01-10,9.9,MIA,6.1,24-312,1,0.0,11.3
2003-12-03,10.5,PHO,0.0,24-274,1,2.3,9.6
2003-12-07,6.7,LAC,3.7,24-278,1,4.6,7.1
2003-11-22,16.0,LAC,0.0,24-263,1,0.0,3.5
2003-11-11,9.1,SEA,5.7,24-252,0,0.0,3.0
2003-12-23,10.4,NYK,0.0,24-294,1,0.0,2.0
2004-03-23,10.0,SAS,6.2,25-019,1,0.0,7.0
2003-12-27,10.0,SEA,5.4,24-298,1,0.0,13.3
2004-03-29,14.7,HOU,8.8,25-025,1,0.0,8.9
2003-10-31,17.2,NJN,0.0,24-241,0,0.0,22.8
2004-03-07,9.6,BOS,1.9,25-003,1,1.1,5.9
2004-03-31,11.7,SEA,5.8,25-027,1,0.0,2.5
2003-12-20,3.5,IND,0.0,24-291,1,0.0,9.4
2004-03-26,4.1,LAL,4.5,25-022,1,0.0,4.6
2004-01-30,6.4,LAL,0.0,24-332,1,1.9,8.0
2004-03-12,6.7,LAL,7.2,25-008,1,1.5,5.2
2004-02-03,6.4,ORL,0.0,24-336,1,0.0,3.1
2004-01-25,13.4,PHO,0.0,24-327,1,0.0,8.6
2003-11-25,9.1,IND,7.6,24-266,1,2.1,6.0
2004-04-02,15.7,WAS,5.1,25-029,1,2.8,4.9
2004-03-27,14.1,LAC,0.0,25-023,1,0.0,6.1
2004-01-17,12.0,HOU,3.0,24-319,1,1.5,5.1
2004-01-03,6.5,DAL,3.0,24-305,1,0.0,1.6
2003-11-08,6.8,MIA,6.2,24-249,0,0.0,7.7
