AVG,G,VORP,oppOBP,AB,oppSLG,SLG,LG,oppTAv,LVL
0.345,23,-4.7,0.318,87,0.402,0.621,AL,0.268,MLB
0.5,4,-1.4,0.33,8,0.413,1.0,NL,0.274,MLB
0.195,72,9.6,0.313,261,0.389,0.238,NL,0.262,MLB
0.133,1,-0.1,0.303,15,0.343,0.133,NL,0.239,MLB
0.188,75,8.5,0.318,250,0.394,0.284,NL,0.268,MLB
0.2,5,1.6,0.303,20,0.364,0.3,AL,0.25,MLB
0.283,12,-2.4,0.305,60,0.362,0.5,NL,0.251,MLB
0.244,60,3.8,0.313,225,0.384,0.36,AL,0.259,MLB
0.391,5,-1.2,0.316,23,0.402,0.609,AL,0.261,MLB
0.285,25,1.7,0.303,579,0.374,0.458,NL,0.257,MLB
0.296,6,-2.5,0.317,27,0.39,0.556,NL,0.266,MLB
0.29,3,1.4,0.322,31,0.389,0.355,AL,0.269,MLB
0.306,8,2.0,0.313,36,0.388,0.417,AL,0.259,MLB
0.282,8,0.3,0.316,39,0.388,0.359,NL,0.266,MLB
0.195,10,-1.3,0.307,41,0.366,0.293,AL,0.254,MLB
0.231,12,4.8,0.306,281,0.39,0.338,NL,0.258,MLB
0.278,10,1.8,0.315,230,0.393,0.43,AL,0.267,MLB
0.268,32,16.6,0.314,788,0.389,0.406,AL,0.261,MLB
0.288,50,5.1,0.319,347,0.404,0.412,AL,0.266,MLB
0.262,22,12.2,0.304,485,0.372,0.416,NL,0.254,MLB
0.246,31,8.5,0.305,745,0.378,0.389,NL,0.257,MLB
0.282,33,13.4,0.303,790,0.372,0.409,NL,0.256,MLB
0.233,7,-0.4,0.308,30,0.377,0.333,NL,0.26,MLB
0.233,34,5.4,0.313,820,0.384,0.399,AL,0.261,MLB
0.311,14,-2.3,0.311,45,0.394,0.6,NL,0.258,MLB
0.291,31,-4.3,0.315,134,0.398,0.485,AL,0.263,MLB
0.311,6,-0.5,0.303,106,0.381,0.528,NL,0.258,MLB
0.289,6,-0.5,0.318,38,0.405,0.474,AL,0.27,MLB
0.304,7,-0.9,0.314,46,0.409,0.522,AL,0.264,MLB
0.261,30,-0.1,0.317,352,0.396,0.395,AL,0.265,MLB
0.241,27,13.1,0.315,507,0.388,0.381,AL,0.263,MLB
0.188,20,0.8,0.313,85,0.39,0.306,NL,0.263,MLB
0.254,13,-3.1,0.315,260,0.391,0.446,AL,0.265,MLB
0.188,67,1.7,0.316,229,0.387,0.319,NL,0.264,MLB
0.149,70,23.8,0.319,308,0.394,0.224,AL,0.266,MLB
0.293,29,-4.7,0.314,99,0.388,0.545,NL,0.261,MLB
0.248,29,4.4,0.311,610,0.388,0.385,AL,0.261,MLB
0.218,64,9.2,0.311,239,0.384,0.264,NL,0.259,MLB
0.277,53,-1.9,0.317,141,0.386,0.418,NL,0.263,MLB
0.231,10,6.1,0.309,234,0.384,0.303,NL,0.263,MLB
0.258,38,2.3,0.315,93,0.391,0.366,AL,0.262,MLB
0.277,17,-7.8,0.314,296,0.38,0.453,AL,0.263,MLB
0.192,63,12.1,0.312,234,0.387,0.321,AL,0.26,MLB
0.259,51,4.7,0.325,193,0.401,0.332,AL,0.27,MLB
0.261,12,5.5,0.315,257,0.397,0.412,AL,0.263,MLB
0.236,11,2.7,0.296,140,0.367,0.379,NL,0.251,MLB
0.286,18,1.1,0.314,84,0.375,0.417,AL,0.26,MLB
0.333,2,-1.5,0.316,6,0.372,0.5,NL,0.265,MLB
