Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Peoria,0.278,138,4708,701,1311,255,39,111,656,387,979,103,47,32,49,109,0.338,0.42,0.757
West Michigan,0.274,140,4804,693,1316,267,45,63,631,441,1001,129,66,29,61,92,0.345,0.388,0.732
Fort Wayne,0.266,140,4659,736,1237,268,32,97,661,681,978,130,65,17,48,107,0.365,0.399,0.764
Great Lakes,0.263,140,4709,719,1239,264,54,106,646,476,1113,166,58,24,39,82,0.336,0.41,0.746
Dayton,0.262,139,4734,612,1240,252,42,79,564,398,992,146,49,46,39,99,0.325,0.383,0.708
Cedar Rapids,0.257,138,4575,663,1177,218,42,65,578,461,1068,187,90,84,50,77,0.335,0.366,0.701
Lansing,0.255,138,4648,616,1184,229,32,94,555,367,1183,167,62,22,37,94,0.318,0.378,0.697
Clinton,0.253,137,4590,627,1162,219,46,77,553,452,1133,162,65,76,43,78,0.327,0.371,0.698
Beloit,0.252,140,4673,606,1177,240,32,66,534,458,1108,99,68,51,35,87,0.323,0.359,0.682
Burlington,0.247,139,4547,596,1125,218,46,53,518,404,950,188,83,39,39,64,0.311,0.351,0.662
South Bend,0.247,137,4505,534,1114,243,32,43,475,369,913,75,41,23,29,102,0.315,0.344,0.659
Kane County,0.243,140,4615,598,1122,211,31,80,523,493,1085,127,61,32,38,99,0.322,0.354,0.676
Quad Cities,0.24,139,4579,582,1101,223,32,71,524,466,1110,114,47,40,43,85,0.32,0.35,0.67
Wisconsin,0.236,139,4472,546,1056,235,35,62,480,490,1160,130,76,38,41,73,0.319,0.346,0.665
