Pitcher,Team,IP,ERA,H,R,ER,HR,BB,K,G/F,WHIP,AVG,OPS
Blake Maxwell,Por,37.0,4.38,36,20,18,4,17,19,1.88,1.43,0.259,0.778
Dustin Richardson,PawPor,21.0,2.57,16,6,6,1,14,25,1.25,1.43,0.211,0.66
Anatanaer Batista,Low,8.1,2.16,9,4,2,0,3,11,1.33,1.44,0.257,0.716
Charlie Zink,Paw,51.0,4.76,41,28,27,3,33,8,1.35,1.45,0.25,0.75
Richard Lentz,PorLow,19.1,5.59,14,15,12,1,14,28,1.13,1.45,0.209,0.708
Danny Dilon,DSL,11.0,1.64,9,3,2,0,7,8,1.1,1.45,0.225,0.622
Leandro Marin,Gre,11.2,3.09,7,6,4,0,10,14,2.2,1.46,0.175,0.608
Derrick Loop,PorSal,16.1,2.76,17,7,5,0,7,19,2.2,1.47,0.266,0.637
Robert Coello,PawSal,17.3,1.5,13,7,3,2,14,23,0.82,1.5,0.213,0.711
Luis Bastardo,DSL,13.1,2.7,12,7,4,0,8,4,1.06,1.5,0.25,0.651
Travis Beazley,Por,1.1,0.0,1,0,0,0,1,1,1.0,1.5,0.2,0.533
Antony Alvarado,DSL,0.2,0.0,1,0,0,0,0,0, ,1.5,0.5,1.0
Nestor Lastreto,DSL,13.2,3.29,17,7,5,0,4,12,1.08,1.54,0.293,0.77
Yeiper Castillo,GreLow,28.3,5.59,33,22,18,3,12,25,1.14,1.55,0.292,0.825
Jose Vaquedano,Paw,24.0,2.62,18,8,7,0,20,12,1.82,1.58,0.225,0.688
Swen Huijer,GCL,6.1,7.11,10,6,5,1,0,4,0.9,1.58,0.417,1.199
Hunter Cervenka,GCL,8.2,2.08,5,2,2,0,9,8,1.14,1.62,0.217,0.617
Luis Diaz,DSL,11.0,3.27,9,7,4,0,9,4,1.58,1.64,0.22,0.627
Armando Zerpa,SalGre,18.3,3.32,16,7,7,1,16,21,1.36,1.68,0.235,0.647
Ryne Lawson,Por,35.0,6.43,40,26,25,4,19,11,0.85,1.69,0.308,0.909
Jose Capellan,Sal,33.1,4.05,39,17,15,4,18,19,1.24,1.71,0.302,0.812
Samuel Garcia,DSL,8.0,4.5,11,4,4,0,3,6,1.57,1.75,0.344,0.823
Kyle Weiland,Sal,37.1,3.86,37,21,16,2,29,38,2.59,1.77,0.257,0.78
Kris Johnson,PawPor,35.0,6.43,50,28,25,0,13,20,1.47,1.8,0.36,0.858
Alexander Mateo,DSL,3.1,0.0,4,3,0,0,2,2,1.33,1.8,0.267,0.753
