Name,Pos,Salary,Per%,Mid%,Pnt%,Def Rtg,PG Eff%,SG Eff%,SF Eff%,PF Eff%,C Eff%
1985-86 Cleveland Cavaliers,SG,"$707,372",8,76,16,54,91,100,99,80,70
1984-85 New Jersey Nets,SG,"$374,239",2,63,34,59,90,100,97,80,70
1983-84 San Antonio Spurs,SG,"$1,081,255",4,76,20,54,90,100,97,80,70
1983-84 Golden State Warriors,SG,"$246,502",2,55,43,70,90,100,97,80,70
1982-83 Cleveland Cavaliers,SG,"$737,224",1,82,17,54,90,100,98,80,70
1982-83 Golden State Warriors,SG,"$2,223,779",3,69,29,55,90,100,96,80,70
1981-82 Cleveland Cavaliers,SG,"$3,011,328",3,71,26,52,92,100,98,80,70
1981-82 San Antonio Spurs,SG,"$1,101,737",3,75,23,59,97,100,98,80,70
1980-81 Portland Trail Blazers,SG,"$676,292",1,76,23,69,97,100,95,80,70
1980-81 San Antonio Spurs,SG,"$1,469,053",1,73,26,76,98,100,96,80,70
1979-80 Portland Trail Blazers,SG,"$5,301,256",3,74,23,61,95,100,99,80,70
1978-79 Portland Trail Blazers,SG,"$5,128,941",13,51,36,80,95,100,99,81,70
