SF,H,Player,SO,SH,POS,GIDP,Team,BB,AVG
0,4,N McIntyre,3,1,SS,0,ERI,2,.182
1,17,T Brown,24,1,3B,9,BOW,9,.173
0,28,P Cotto,17,1,LF,0,ERI,8,.255
0,15,G Dawkins,13,0,2B,1,REA,8,.224
2,67,A Webster,21,4,OF,11,ALT,23,.229
4,47,A Lefave,29,3,1B,2,HAR,31,.250
0,0,B Pettway,0,0,P,0,NH,0,--
4,148,A Jackson,113,2,CF,9,TRN,56,.285
3,101,L Marson,70,0,C,10,REA,68,.314
0,3,O Guevara,10,1,C,0,REA,4,.091
2,76,L Appert,59,4,2B,7,REA,41,.254
2,25,B Dopirak,10,0,1B,1,NH,2,.287
0,0,R Belliard,4,0,2B,1,HAR,0,.000
0,1,T Webb,9,0,SS,0,CON,0,.050
0,31,M Carson,20,1,OF,2,TRN,9,.277
5,72,J Boone,107,3,CF,2,ALT,39,.219
0,0,A Munoz,0,0,P,0,HAR,0,.000
2,75,D Worth,59,4,SS,7,ERI,32,.254
0,0,S Youman,0,0,P,0,REA,0,.000
0,0,B Johnson,0,0,P,0,ALT,0,--
0,0,K Roberts,0,0,P,0,ALT,0,--
0,30,C Harris,20,0,1B,5,REA,20,.244
0,0,D Maday,0,1,P,0,CON,0,.000
1,25,J Skelton,23,0,C,1,ERI,19,.294
0,0,J Sues,0,0,P,0,ALT,0,--
4,75,E Nielsen,42,1,LF,10,NH,35,.268
0,5,B Douglas,2,0,SS,0,ERI,0,.263
2,68,C Gutierrez,61,1,3B,8,NH,43,.254
0,6,J Wilson,2,1,SS,0,ALT,4,.316
4,92,J Corsaletti,58,0,LF,2,POR,53,.312
0,0,R Ray,1,0,P,0,CON,0,.000
3,49,B Chaves,47,3,SS,1,AKR,30,.198
6,75,M Wagner,78,1,C,6,POR,38,.219
1,49,B Dinkelman,24,2,2B,3,NBR,10,.247
0,0,Y Novoa,2,1,P,0,HAR,0,.000
0,0,A Eaton,0,0,P,0,REA,0,.000
0,5,J Estrada,2,0,C,1,HAR,0,.250
0,18,Y de Caster,15,0,3B,4,HAR,10,.321
0,0,B Wagner,0,0,P,0,BIN,0,--
3,73,N Panther,59,5,LF,10,AKR,45,.248
3,94,J Constanza,42,5,CF,7,AKR,28,.278
2,60,A Hatch,41,1,3B,9,NH,18,.235
5,95,T Snider,116,0,DH,10,NH,52,.262
1,82,K Phillips,41,4,1B,3,NH,27,.306
2,77,D Valencia,70,0,3B,6,NBR,18,.289
0,2,J Zimmermann,8,3,P,0,HAR,0,.125
0,5,J Cordido,9,1,3B,2,CON,2,.116
0,0,J Waddell,1,0,P,0,CON,2,.000
2,126,S Campbell,63,0,2B,7,NH,66,.302
6,118,R Pena,86,12,SS,7,TRN,41,.266
0,1,T Minix,1,0,P,0,REA,0,.333
1,51,B Rhinehart,49,0,OF,5,HAR,27,.233
2,84,R Goleski,98,0,RF,7,AKR,40,.249
0,0,E Meek,0,0,P,0,ALT,0,.000
0,0,J Nunez,1,0,P,0,TRN,0,.000
1,52,M Eylward,52,0,1B,7,REA,20,.225
0,86,R Bernadina,64,4,CF,4,HAR,31,.323
2,78,C Wells,66,2,CF,8,ERI,30,.289
1,42,M Yepez,37,11,2B,4,HAR,23,.251
0,8,A Machado,11,1,1B,0,BIN,7,.200
0,2,D Hankins,5,3,P,1,ALT,1,.143
0,2,E Brito,1,0,P,0,BIN,0,.250
0,1,P Nichols,4,1,C,0,HAR,1,.091
3,131,B Corley,106,1,RF,7,ALT,25,.262
0,12,B Boyer,2,2,2B,1,CON,3,.240
0,0,E Quezada,0,0,P,0,BIN,0,--
0,79,S Klink,104,1,1B,12,CON,34,.226
1,16,J Christy,14,1,C,3,NBR,12,.216
0,0,R Paulk,0,0,P,0,BIN,0,--
4,127,R Roberson,120,0,1B,8,ERI,34,.289
1,29,M Aubrey,12,0,DH,2,AKR,8,.282
1,0,Z Segovia,2,0,P,0,HAR,0,.000
2,81,I Desmond,78,6,SS,7,HAR,31,.251
2,97,B Copeland,64,7,OF,3,CON,39,.261
1,44,M Lowrance,40,0,LF,1,HAR,20,.286
0,0,C Hernandez,0,0,P,0,ALT,0,--
0,35,J Padilla,12,1,RF,4,HAR,17,.330
1,10,M Nickeas,7,0,C,0,BIN,7,.196
0,19,J Tejeda,14,1,1B,4,REA,10,.211
4,132,J Coronado,79,12,SS,15,BIN,57,.260
0,0,T Crawford,2,0,P,0,HAR,0,.000
0,1,J Sanchez,5,5,P,0,BIN,1,.071
0,29,J Herrera,23,4,C,2,HAR,25,.264
3,89,B Bell,61,0,CF,10,POR,39,.285
1,111,J Donald,86,0,SS,9,REA,47,.307
0,3,Y Herrera,9,2,P,0,ALT,0,.188
0,0,C Hoorelbeke,0,1,P,0,BIN,0,--
1,2,J Urick,2,0,1B,0,REA,1,.222
0,0,T Brummett,5,1,P,1,REA,0,.000
0,1,M Alou,0,0,LF,0,BIN,0,.167
8,144,N Reimold,82,0,RF,9,BOW,63,.284
4,125,R Corona,78,7,2B,5,TRN,51,.274
0,0,C Carrasco,5,3,P,0,REA,1,.000
0,6,P Ramos,5,0,2B,0,BIN,3,.207
2,61,M Hall,101,0,CF,4,POR,37,.232
0,0,R Belisario,1,0,P,0,ALT,0,.000
0,0,O Matos,0,0,P,0,CON,0,--
1,25,J Suomi,12,0,C,3,REA,9,.236
0,1,T Bittner,2,1,P,0,HAR,0,.333
0,3,A Cintron,2,0,SS,0,BOW,1,.333
0,0,S Overbey,0,0,P,0,NH,0,--
3,88,A Richardson,82,10,CF,3,CON,55,.241
0,4,E Rogers,2,2,SS,2,HAR,0,.148
0,2,V Martinez,2,0,C,0,AKR,1,.333
1,91,L Hughes,70,2,3B,3,NBR,28,.319
6,66,J Otness,32,0,C,10,POR,26,.263
0,0,J Hill,4,1,P,0,ALT,1,.000
0,0,D Harang,1,0,P,0,NH,0,.000
0,1,D Davidson,2,0,P,1,ALT,0,.167
4,129,J Nettles,84,0,3B,16,BOW,44,.253
1,47,S De Leon,27,1,3B,7,ERI,7,.278
1,29,S Roof,23,4,2B,4,ERI,11,.234
5,107,J Delaney,77,0,1B,11,ALT,68,.292
0,0,B McNiven,3,0,P,0,CON,0,.000
4,110,A Concepcion,110,2,RF,13,BIN,18,.241
0,2,J Outman,2,0,P,0,REA,1,.250
0,0,G Marte,0,0,P,0,BIN,0,.000
0,27,A Gonzalez,23,3,3B,0,ALT,1,.278
4,104,J Tabata,67,1,CF,18,ALT,34,.272
0,0,W Savage,0,0,P,0,REA,0,--
0,0,J Gothreaux,0,1,P,0,NH,0,--
1,74,D Smith,81,0,RF,12,NH,39,.265
5,120,G Golson,130,4,CF,3,REA,34,.282
6,122,D Scram,127,2,CF,3,ERI,57,.253
2,46,M Leon,41,1,3B,2,ERI,30,.313
1,19,J Kreuzer,28,1,1B,5,NH,10,.164
0,1,D Reichert,2,0,P,0,ALT,0,.200
0,0,S Schmoll,0,0,P,0,HAR,1,.000
3,82,K Russo,42,3,2B,5,TRN,23,.307
0,0,A Bastardo,5,1,P,0,REA,1,.000
0,17,A Camacaro,3,0,C,4,AKR,5,.233
0,2,B Snyder,1,1,P,0,CON,1,.286
4,130,B Davis,80,7,SS,10,BOW,26,.284
0,4,L Castillo,3,0,2B,0,BIN,2,.250
0,0,D Gee,1,1,P,0,BIN,0,.000
6,63,K Kirkland,80,5,3B,2,ERI,29,.244
4,72,J Malo,52,4,2B,2,BIN,28,.261
3,124,M Whitney,93,0,1B,15,AKR,59,.268
2,36,J Blalock,38,0,DH,7,REA,14,.235
1,83,J Moran,52,4,LF,4,REA,30,.252
0,0,J Shortslef,2,0,P,0,ALT,0,.000
0,74,T Gardenhire,52,9,2B,6,NBR,28,.261
0,0,S Palazzolo,3,0,P,0,CON,0,.000
2,50,S Madera,19,0,1B,5,POR,12,.291
2,4,S Aguilar,6,5,P,0,BIN,2,.200
2,118,C Malec,57,0,3B,17,TRN,68,.291
1,118,E Martinez-Esteve,37,0,RF,18,CON,54,.298
0,0,O Hernandez,0,0,P,0,BIN,0,--
0,0,M Antonini,0,0,P,0,BIN,0,.000
1,14,T Denker,25,0,2B,1,CON,14,.184
0,20,L Davis,5,1,3B,0,HAR,6,.488
