POS,BB,HR,2B,SH
OF,33,3,8,5
OF,9,5,12,0
OF,17,8,6,0
OF,6,1,4,2
C,10,9,12,2
SS,18,4,5,3
C,9,1,4,1
OF,11,3,4,2
C,13,5,8,0
C,1,0,1,0
OF,1,0,1,1
SS,9,0,8,3
C,29,1,9,0
C,19,6,19,0
2B,18,1,10,2
OF,9,4,2,0
SS,6,0,1,0
P,0,0,0,0
OF,28,1,16,5
1B,19,15,10,0
OF,15,12,9,1
OF,0,0,0,0
C,6,0,2,0
OF,21,2,7,0
SS,18,1,3,1
2B,2,0,3,0
OF,6,2,3,1
2B,27,0,11,5
2B,35,3,7,4
OF,12,1,10,0
P,0,0,0,0
OF,27,0,9,1
2B,3,1,1,0
C,8,2,3,0
SS,11,0,5,0
SS,25,2,5,3
C,2,0,1,0
1B,3,2,2,0
SS,19,0,5,4
OF,25,4,11,0
C,1,0,0,0
SS,31,6,17,7
C,3,1,0,0
2B,5,0,0,0
