BATTING,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
2004,KC,7,27,27,1,5,3,0,0,3,1,0,0,7,0.185,0.185,0.296,0.481
2005,KC,32,88,77,4,12,5,0,1,8,0,1,9,23,0.156,0.241,0.26,0.501
2007,OAK,42,132,118,21,26,8,0,6,21,1,0,10,35,0.22,0.29,0.441,0.731
2008,OAK,46,117,103,10,19,3,0,3,13,2,1,11,38,0.184,0.274,0.301,0.575
2010,MIA,29,47,44,9,14,6,1,3,16,0,0,2,19,0.318,0.348,0.705,1.053
2011,MIA,36,100,92,10,17,4,1,2,9,0,0,4,21,0.185,0.24,0.315,0.555
2012,MIA,52,129,116,13,25,6,2,3,12,1,1,9,35,0.216,0.281,0.379,0.66
2013,CHC,46,163,149,23,38,8,0,11,23,2,0,8,48,0.255,0.319,0.53,0.849
2014,TEX,45,128,112,11,22,3,0,4,14,0,1,11,38,0.196,0.268,0.33,0.598
Career, ,335,931,838,102,178,46,4,33,119,7,4,64,264,0.212,0.279,0.395,0.674
