dp,era,bb,3b,ibb,hr,h,Opponent,so
0,6.19,3,0,0,0,12,INDIANA,3
2,5.55,1,1,0,2,14,Florida,0
0,6.93,0,0,0,2,21,OHIO STATE,0
2,6.63,1,0,0,2,12,EASTERN MICHIGAN,3
0,6.28,1,0,0,1,7,NORTHWESTERN,3
0,6.78,2,0,0,3,16,Penn State,1
0,4.96,3,0,0,2,9,Illinois,1
0,7.19,1,1,0,0,9,Charleston Southern,7
0,4.67,2,0,0,1,8,Louisville,3
0,6.46,5,0,0,0,5,Wright State,7
0,6.71,4,0,0,0,13,Purdue,0
0,7.51,4,0,0,1,7,Loyola Marymount,7
0,6.33,4,0,0,1,14,NORTHWESTERN,3
0,6.96,1,0,0,1,5,Auburn,5
0,6.56,2,1,0,0,8,Purdue,4
0,6.77,3,0,0,0,11,Stanford,3
0,6.79,2,0,0,0,7,UC Riverside,4
0,6.72,0,0,0,1,9,North Dakota,4
0,6.19,5,0,1,1,8,INDIANA,5
0,7.92,11,0,0,1,10,Florida,1
0,6.58,2,0,0,2,13,Florida,0
