Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
J Clark,CAS,1B,0.348,58,198,33,69,13,1,11,44,29,34,5,5,1,4,7,0.424,0.591,1.015
S Halton,HEL,1B,0.354,44,161,27,57,14,0,3,28,9,38,4,4,0,2,2,0.398,0.497,0.895
D Thennis,GRF,1B,0.094,11,32,4,3,0,0,1,2,5,16,2,0,0,0,0,0.216,0.188,0.404
H Sosa,BIL,1B,0.359,21,78,11,28,9,1,2,13,10,12,2,0,0,1,3,0.427,0.577,1.004
K Orr,OGD,1B,0.223,40,148,19,33,7,2,3,27,10,47,0,0,1,2,6,0.273,0.358,0.631
D Baird,ORM,1B,0.372,57,215,39,80,17,2,7,49,28,33,1,1,0,2,5,0.452,0.567,1.019
P Goldschmidt,MIS,1B,0.334,74,287,51,96,27,3,18,62,36,74,4,3,0,5,6,0.408,0.638,1.045
A Espinosa,IDF,1B,0.271,57,203,25,55,14,3,1,27,23,45,2,2,3,1,6,0.355,0.384,0.739
C Jacobs,OGD,1B,0.277,42,148,22,41,10,1,4,17,21,49,0,0,1,0,6,0.371,0.439,0.81
T Mann,ORM,1B,0.27,36,111,18,30,7,1,2,29,13,35,0,0,2,3,5,0.349,0.405,0.754
H Arias,HEL,1B,0.196,15,56,7,11,3,1,1,10,3,21,1,1,0,0,2,0.262,0.339,0.602
C Calfee,OGD,1B,0.354,17,65,10,23,4,0,3,12,6,19,0,1,0,0,1,0.408,0.554,0.962
T Nurre,BIL,1B,0.224,33,116,14,26,5,0,5,13,6,21,0,0,1,0,5,0.291,0.397,0.688
J Vargas,GRF,1B,0.333,36,144,30,48,12,0,7,35,10,28,2,0,0,3,3,0.381,0.563,0.944
T Gossage,GRF,1B,0.231,37,117,14,27,3,0,0,11,10,21,1,1,2,2,3,0.308,0.256,0.565
C Richburg,BIL,1B,0.274,46,157,17,43,10,0,3,20,22,42,2,1,1,0,5,0.38,0.395,0.775
T Nam,OGD,1B,0.333,2,9,2,3,0,0,0,1,0,5,0,0,0,0,0,0.333,0.333,0.667
