SB,Player,3B,R,POS
2,K Davis,0,3,SS
0,D Dominguez,0,1,2B
0,J Mayo,0,1,C
0,J Roof,0,5,SS
0,B Sims,0,0,P
30,D Mollenhauer,1,51,3B
0,A Clark,0,11,1B
14,L Ware,6,40,CF
3,C Burnette,2,24,1B
13,T Ferguson,1,44,CF
11,Y Prades,5,36,OF
0,A Baker,0,8,1B
4,D Butler,0,39,C
1,J Casas,2,14,OF
0,T Hurley,0,0,P
13,S Wilkerson,2,54,OF
4,A Valdez,2,13,3B
0,R Query,1,4,C
0,A Russell,0,0,P
6,J Schoop,2,37,3B
1,A Gallas,0,14,OF
2,J Whittleman,3,52,1B
1,L Sierra,1,24,C
4,A Martinez,0,9,2B
14,A McClure,3,22,SS
0,J Rodriguez,0,3,C
0,L Escobar,0,0,C
0,J Smit,1,3,OF
0,J Whitmer,0,0,C
1,J Leonard,1,43,3B
0,M Rayl,0,0,P
25,S Souza,2,58,1B
0,S Starr,0,1,SS
1,R Hague,0,4,SS
5,A Gilbert,0,2,CF
1,A Yount,2,18,3B
0,R Delgado,0,0,C
0,J Padron,3,26,1B
1,B Britton,0,9,3B
0,K Eveland,0,1,SS
0,A Wilson,0,0,P
1,D Paisano,4,21,OF
0,G Soto,0,0,P
7,D Mailman,1,27,LF
2,M Liberto,0,8,2B
0,Z Osborne,0,0,P
6,A James,1,27,2B
25,D Wagner,4,60,2B
0,J Lewis,3,29,1B
0,A Ortiz,0,1,LF
0,C Brownsten,0,3,C
0,M Head,1,27,1B
3,M Flacco,2,21,1B
16,F Soriano,3,48,SS
2,J Martinez,3,45,RF
1,R Spanjer-Furstenburg,0,3,DH
4,L Hoes,0,23,2B
4,A Frost,1,4,2B
24,D Gibson,3,56,SS
1,J Oliveira,1,3,C
24,W Merrifield,3,74,OF
6,H Meneses,5,23,3B
1,S King,0,9,3B
0,D DeGeorge,1,2,3B
12,K Vitek,6,78,3B
10,N Van Stratten,1,22,RF
3,Z Gentile,1,33,2B
14,J Mitchell,8,74,CF
7,T Mummey,2,13,OF
3,M Almanzar,0,18,1B
5,M Hilligoss,0,29,1B
1,J Bonilla,0,21,C
3,J Julius,0,22,RF
0,K Walker,0,0,SS
6,K Schutz,0,39,LF
3,G Hall,1,9,SS
0,C Allen,0,1,P
0,C Jones,0,0,P
5,D Batista,2,35,3B
0,Z Zaneski,0,24,C
0,S Caseres,0,1,1B
0,J Mahoney,0,0,1B
30,L Garcia,5,65,SS
6,M Lemon,1,21,LF
0,E Cardenas,0,0,P
53,J Kobernus,4,67,2B
3,G Rodriguez,0,22,OF
18,C Testa,4,48,LF
19,A Abreu,5,42,RF
2,J Silverio,3,28,3B
0,J Graterol,0,3,C
0,P Guilmet,0,0,P
0,R Rivas,0,2,SS
