OBP,POS,Player,SB,GIDP,SH,HR
0.277,C,J Aguilera,0,2,0,0
0.378,SS,R Bonfante,15,5,1,0
0.394,1B,E Alvarez,0,0,1,0
0.402,3B,J Medrano,19,6,1,1
0.39,1B,J Loaisiga,3,4,2,1
0.278,1B,O Figueroa,3,3,10,4
0.405,SS,D Hernandez,4,4,2,3
0.344,1B,J Paris,3,3,4,3
0.398,2B,J Avila,1,3,2,0
0.38,C,A Neira,1,1,0,3
0.336,SS,M Rojas,1,5,3,2
0.321,2B,W De Los Santos,7,2,3,1
0.354,C,J Hernandez,0,2,3,0
0.272,1B,R Perez,0,2,0,2
0.289,C,C Figueroa,0,1,0,0
0.374,2B,J Requena,5,2,2,0
0.343,1B,B Doi,6,1,0,3
0.341,C,L Alvarez,0,1,2,2
0.389,3B,K Teran,5,3,5,1
0.262,SS,N Sosa,3,2,3,1
0.118,1B,F Guzman,0,0,0,0
0.311,SS,T Obregon,6,0,3,0
0.276,SS,E Ugueto,4,3,0,3
0.419,C,J Marquez,2,7,1,4
0.0,C,A Diaz,0,1,0,0
0.262,C,F Diaz,3,1,0,0
0.361,2B,H Rodriguez,4,2,1,3
0.281,3B,X Gonzalez,0,1,2,0
0.22,C,O Cabrera,0,1,1,1
0.342,C,L Gonzalez,1,7,0,0
0.429,2B,J Altuve,15,8,3,0
0.339,C,N Moreno,3,2,0,1
0.379,C,J De Aguas,1,2,2,0
0.333,3B,D Guanipa,0,3,0,1
0.374,2B,J Agudelo,3,3,3,0
