BB,AVG,CS,SB,3B,AB
4,0.211,1,8,0,109
11,0.331,3,5,3,148
9,0.34,0,0,0,53
4,0.423,0,0,0,26
3,0.098,0,0,0,41
29,0.289,2,11,4,187
2,0.167,0,0,0,18
8,0.216,0,0,0,37
6,0.215,2,3,1,107
1,0.667,0,0,0,3
9,0.296,0,3,1,115
22,0.325,2,26,1,157
11,0.187,2,4,1,155
6,0.276,1,0,0,87
8,0.226,0,2,0,62
10,0.285,5,7,4,165
14,0.196,0,1,2,112
6,0.263,0,0,0,19
15,0.129,0,0,0,93
1,0.118,0,0,0,17
2,0.151,1,1,0,53
8,0.22,3,3,2,100
0,0.143,1,1,0,42
30,0.342,3,3,3,196
3,0.329,0,2,0,146
11,0.276,1,5,0,58
1,0.357,0,0,0,14
1,0.238,0,1,0,21
2,0.625,1,0,0,16
12,0.229,0,0,0,83
17,0.245,4,1,1,106
0,0.0,0,0,0,6
3,0.238,0,0,0,21
0,0.0,0,0,0,11
11,0.147,0,1,0,150
13,0.305,0,0,0,82
2,0.667,0,1,0,9
15,0.262,2,9,0,65
3,0.216,0,1,0,102
0,0.286,1,0,0,7
2,0.238,0,0,0,21
0,0.4,0,0,0,5
7,0.182,0,0,0,44
0,0.5,0,1,0,4
2,0.2,0,0,0,15
1,0.231,1,1,0,52
1,0.333,0,0,0,9
0,0.0,0,0,0,8
0,0.0,0,0,0,7
11,0.308,1,1,1,104
5,0.429,1,2,0,56
19,0.317,4,22,2,183
3,0.236,1,1,0,55
20,0.242,0,11,0,149
8,0.157,1,3,0,102
6,0.183,2,6,0,109
2,0.234,1,0,0,47
11,0.331,0,2,1,160
13,0.232,6,0,1,95
12,0.256,0,0,1,78
8,0.211,2,0,0,76
5,0.321,0,0,0,78
22,0.224,2,2,1,174
23,0.23,0,3,1,174
9,0.243,0,0,0,169
6,0.243,1,6,3,144
0,0.158,0,0,0,19
7,0.222,0,0,0,45
13,0.347,1,4,2,124
0,0.0,0,0,0,8
14,0.246,0,3,3,118
3,0.22,0,0,1,50
1,0.0,0,0,0,7
15,0.25,4,6,3,172
2,0.2,0,2,0,25
2,0.217,0,1,1,60
1,0.244,0,1,0,45
0,0.143,0,0,0,7
2,0.279,0,0,1,43
1,0.333,0,0,0,6
21,0.263,6,24,7,198
10,0.275,1,2,2,160
8,0.282,0,1,1,78
0,0.0,0,0,0,1
6,0.331,4,11,5,172
1,0.0,0,0,0,5
7,0.214,2,1,0,84
9,0.194,1,1,0,103
18,0.258,1,9,1,178
4,0.053,0,0,0,19
9,0.266,0,1,0,79
11,0.229,0,0,0,83
2,0.19,0,1,0,21
11,0.299,1,8,3,97
8,0.194,1,2,1,108
4,0.25,0,0,0,32
5,0.185,1,5,0,108
5,0.148,2,1,2,54
7,0.291,10,19,5,179
8,0.2,1,0,0,110
2,0.226,1,0,0,31
1,0.143,0,0,0,7
6,0.211,0,1,0,90
4,0.6,0,0,0,10
3,0.385,0,0,0,13
11,0.184,2,0,1,49
18,0.245,0,0,0,98
4,0.317,0,1,1,41
5,0.167,1,1,2,102
1,0.083,0,0,0,12
2,0.333,1,0,0,15
0,0.0,0,0,0,2
20,0.201,2,3,0,174
3,0.192,1,4,3,167
1,0.273,1,0,0,11
16,0.255,5,10,2,157
7,0.275,0,2,0,91
15,0.152,0,1,0,92
0,0.167,0,0,0,6
3,0.319,0,1,1,47
