Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jose Garcia,GCL,49,168,21,36,8,1,2,16,5,6,15,39,0.214,0.293,0.31,0.602
Reymond Fuentes,GCL,40,145,16,42,6,2,1,14,9,5,7,24,0.29,0.331,0.379,0.711
Felix Sanchez,GCL,40,138,17,34,7,3,1,11,10,4,9,39,0.246,0.291,0.362,0.653
Carson Blair,GCL,39,124,15,26,8,0,2,20,0,1,16,46,0.21,0.286,0.323,0.608
Seth Schwindenhammer,GCL,36,124,11,24,6,2,0,10,0,1,8,41,0.194,0.252,0.274,0.526
Kenneth Roque,GCL,40,123,17,39,9,5,2,23,5,4,17,23,0.317,0.4,0.52,0.92
Eddie Lora,GCL,34,99,9,22,6,2,3,7,0,0,9,34,0.222,0.287,0.414,0.701
Boss Moanaroa,GCL,29,97,8,28,4,0,0,7,0,0,12,26,0.289,0.364,0.33,0.694
Roberto Ramos,GCL,38,83,12,21,5,0,0,10,7,2,4,18,0.253,0.281,0.313,0.594
Tyler Yockey,GCL,26,77,16,20,3,3,2,12,1,0,6,33,0.26,0.306,0.455,0.76
Juan Bonifacio,GCL,30,77,9,16,5,1,1,1,2,1,5,19,0.208,0.274,0.338,0.611
Bryan Peterson,GCL,20,70,6,15,3,1,1,9,3,1,10,8,0.214,0.313,0.329,0.641
Leonel Escobar,GCL,21,53,9,12,3,0,0,7,0,1,8,9,0.226,0.349,0.283,0.632
Jordan Sallis,GCL,28,45,11,7,1,0,0,2,3,0,15,22,0.156,0.387,0.178,0.565
Moko Moanaroa,GCL,16,44,3,12,2,0,0,4,1,0,4,6,0.273,0.347,0.318,0.665
Maykol Sanchez,GCL,17,40,3,12,0,0,0,3,0,0,5,10,0.3,0.391,0.3,0.691
Christian Vazquez,GCL,10,36,5,10,5,0,0,7,0,0,4,7,0.278,0.366,0.417,0.783
Miles Head,GCL,10,29,1,3,0,0,0,0,0,0,3,8,0.103,0.188,0.103,0.291
Casey Kelly,GCL,8,28,4,6,1,0,2,6,1,0,3,10,0.214,0.29,0.464,0.755
Brandon Jacobs,GCL,8,24,1,6,2,0,0,0,0,0,2,8,0.25,0.333,0.333,0.667
Ivan Ochoa,GCL,5,16,1,7,2,0,0,0,1,0,1,5,0.438,0.5,0.563,1.063
Aaron Reza,GCL,3,9,0,2,1,1,0,0,0,0,0,4,0.222,0.364,0.556,0.919
Jason Thompson,GCL,1,0,0,0,0,0,0,0,0,0,1,0, ,1.0, , 
