AST%,Opp,MP,Rk,TS%
0.0,PHO,3:00,55,1.000
12.5,PHO,9:00,72,.333
19.4,ATL,16:00,44,.500
0.0,MIL,8:00,57,.500
0.0,CHH,4:00,65,.000
0.0,MIN,4:00,31,1.000
0.0,CHI,4:00,23,.000
0.0,POR,14:00,10,.333
0.0,TOR,4:00,64, 
28.1,UTA,17:00,29,.443
11.9,PHI,14:00,28,.429
0.0,DAL,13:00,7,.500
12.0,LAC,23:00,9,.509
0.0,ORL,3:00,58, 
6.5,CLE,30:00,35,.533
5.8,MIA,28:00,33,.342
0.0,DEN,7:00,42,.532
27.3,SEA,11:00,60,.000
12.1,SAC,12:00,11,.647
0.0,MIA,1:00,63, 
13.3,LAC,16:00,46,.400
5.8,PHO,21:00,13,.465
0.0,DAL,17:00,48,.205
0.0,LAC,14:00,47,.000
0.0,HOU,4:00,53,.000
8.9,TOR,13:00,18,.333
0.0,GSW,11:00,39,.347
0.0,UTA,12:00,27,.600
0.0,UTA,4:00,41,.667
8.1,DEN,17:00,30,.258
0.0,SAC,5:00,54, 
8.9,BOS,15:00,36,.698
0.0,WSB,8:00,22, 
0.0,CHI,10:00,40,.000
20.0,SEA,26:00,2,.455
0.0,NJN,9:00,43,.515
16.7,PHO,24:00,12,.509
0.0,POR,15:00,76,.750
0.0,PHI,13:00,37,.333
26.5,VAN,15:00,14,.571
5.9,DEN,26:00,1,.276
0.0,GSW,15:00,71,.500
0.0,DET,3:00,21, 
0.0,NYK,12:00,20,.167
