TOV%,GmSc,Date,GS,TRB%,ORtg,TS%
20.0,-3.2,1992-11-19,0,6.1,14,.000
40.0,-3.1,1993-03-02,0,20.2,21,.000
40.0,3.1,1993-02-25,0,9.0,96,.667
100.0,-2.4,1992-11-13,0,0.0,0, 
0.0,8.4,1993-02-13,1,13.7,175,.800
0.0,0.5,1992-12-02,0,27.3,66,.266
0.0,2.0,1993-04-02,0,21.1,124,.333
0.0,4.6,1993-03-15,0,8.2,110,.421
0.0,2.4,1993-01-02,0,0.0,202,1.000
25.4,0.6,1992-12-23,0,21.7,68,.170
17.0,1.7,1993-01-28,0,17.4,90,.410
40.0,-1.7,1992-12-09,0,0.0,39,.333
75.0,-1.5,1993-02-03,0,13.0,45,1.000
12.7,5.4,1993-03-05,0,8.0,111,.581
0.0,5.1,1993-01-12,0,11.6,175,.694
33.3,1.0,1992-12-04,0,9.7,77,.500
0.0,1.3,1993-02-23,0,0.0,122,.568
0.0,1.3,1992-12-26,0,4.4,113,.500
0.0,-0.6,1992-11-06,0,6.7,29,.000
15.5,-1.5,1993-03-23,0,0.0,47,.184
0.0,2.8,1993-03-11,0,10.9,125,.563
0.0,2.0,1993-04-10,0,28.2,129,.694
12.9,-1.4,1993-01-06,0,3.9,58,.222
26.5,5.2,1993-02-15,1,11.0,107,.541
18.2,10.7,1993-04-20,0,7.1,101,.667
0.0,-0.2,1993-03-09,0,0.0,117,.500
22.8,9.1,1992-11-17,0,28.4,128,.814
25.4,4.1,1993-04-23,0,28.2,88,.425
29.1,1.1,1992-11-09,0,20.0,68,.307
0.0,1.5,1993-01-21,0,6.8,108,.500
0.0,2.9,1993-01-30,0,0.0,146,.532
25.8,4.6,1993-04-22,0,4.0,153,1.042
6.7,11.6,1992-11-14,0,12.6,122,.537
 ,0.7,1992-12-21,0,8.9,207, 
0.0,1.7,1993-04-25,0,8.8,80,.282
 ,0.7,1993-02-04,0,0.0,202, 
0.0,16.4,1993-04-12,0,10.7,174,.799
0.0,9.2,1993-03-19,0,10.0,161,.727
13.6,13.3,1993-03-03,0,18.0,122,.549
0.0,15.3,1993-02-27,0,5.7,157,.735
0.0,2.3,1992-12-12,0,14.0,103,.333
6.3,6.9,1993-03-26,0,13.3,91,.373
0.0,-0.4,1992-12-08,0,6.4,36,.000
