Season,G,Min,FGM,FGA,FG%,3P,3PA,3PT%,FT,FTA,FT%,OR,DR,Reb,Ast,TO,Stl,Blk,PF,P
Ariana Elegado,28,961,144,415,34.7,65,188,34.6,72,87,82.8,20,66,86,136,101,42,9,55,425
Kristen Ale,28,860,75,228,32.9,34,126,27.0,83,113,73.5,12,69,81,67,68,17,2,49,267
Hannah Gilbert,28,794,118,226,52.2,0,0,0.0,24,39,61.5,74,89,163,15,37,14,15,84,260
Dynn Leaupepe,28,515,90,231,39.0,3,13,23.1,44,61,72.1,40,117,157,22,49,30,8,78,227
Taryn Garza,27,650,91,204,44.6,0,0,0.0,31,78,39.7,70,137,207,37,69,27,15,104,213
Beth Balbierz,28,569,50,155,32.3,34,100,34.0,31,43,72.1,19,65,84,29,34,25,6,66,165
Lynn Leaupepe,24,369,48,127,37.8,6,25,24.0,24,40,60.0,43,57,100,5,34,30,2,49,126
Rachel Koehler,20,315,31,66,47.0,0,0,0.0,14,26,53.8,42,58,100,11,19,5,0,45,76
Lisa Marie Sanchez,27,238,22,43,51.2,14,21,66.7,3,8,37.5,2,10,12,19,23,7,0,9,61
Sarah Lipton,26,189,19,46,41.3,9,25,36.0,3,4,75.0,11,20,31,6,12,4,4,38,50
Mary Kate Evans,21,94,9,20,45.0,2,5,40.0,8,13,61.5,6,9,15,1,5,4,1,11,28
Paige Brown,13,37,1,3,33.3,0,0,0.0,0,2,0.0,3,3,6,2,3,1,0,2,2
Nikki Fausey,15,34,1,3,33.3,0,0,0.0,0,0,0.0,1,2,3,0,3,1,0,8,2
Heather Madrigal,2,3,0,1,0.0,0,0,0.0,1,2,50.0,2,0,2,0,0,0,0,1,1
Gabby Grupalo,10,9,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,5,1,0,3,0
Emily Anderson,7,9,0,5,0.0,0,5,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0
Lindsey Wolf,5,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0
