Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1997-06-10,OAK,DET,L 4-6 @DET,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1st career game, 1st career hit"
1997-06-13,OAK,LAN,L 4-6 vs LAN,4,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,4,1st career RBI
1997-06-15,OAK,COL,W 5-2 vs COL,3,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,6,1st career stolen base
1997-06-23,OAK,SEA,L 5-6 @SEA,4,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,13,1st career home run
1997-06-24,OAK,SEA,W 4-1 @SEA,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,4 strikeouts
1997-07-30,OAK,NYA,L 0-7 @NYA,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,33,4 strikeouts
1997-08-21,OAK,BOS,W 13-6 vs BOS,4,2,4,0,0,1,2,0,0,1,0,0,0,0,0,0,46,4 hits
2002-06-15,CHN,CHA,W 7-3 vs CHA,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,179,4 strikeouts
2002-06-30,CHN,CHA,W 9-2 @CHA,4,3,2,0,0,2,3,0,0,1,0,0,0,0,0,0,191,2 home runs
2002-07-27,CHN,SLN,W 7-3 @SLN,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,214,2 hit by pitches
2002-08-29,CHN,MIL,W 13-10 @MIL,4,2,2,0,0,2,5,0,0,1,0,0,0,0,0,0,243,"2 home runs, 5 RBIs"
2002-09-04,CHN,MIL,W 3-0 vs MIL,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,251,4 strikeouts
2004-05-05,BOS,CLE,W 9-5 @CLE,5,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,396,4 strikeouts
2004-05-25,BOS,OAK,W 12-2 vs OAK,6,4,3,1,0,1,5,0,0,0,1,0,0,0,0,1,414,"4 runs scored, 5 RBIs"
2004-07-10,BOS,TEX,W 14-6 vs TEX,5,3,4,2,0,1,3,0,0,1,1,0,0,0,0,0,451,4 hits
2004-09-14,BOS,TBA,L 2-5 vs TBA,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,492,4 strikeouts
2004-09-22,BOS,BAL,W 7-6 vs BAL,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,500,500th career game
2005-06-04,BOS,ANA,L 6-13 vs ANA,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,559,4 strikeouts
2005-06-26,BOS,PHI,W 12-8 @PHI,4,4,3,1,0,1,3,0,0,1,0,0,0,0,0,0,578,4 runs scored
2006-05-10,SDN,MIL,W 3-0 vs MIL,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,632,4 strikeouts
