ORB%,TOV%,USG%,BLK%,Tm
0.0,20.0,19.6,0.0,MIL
0.0,25.0,11.7,0.0,MIL
0.0, ,0.0,0.0,MIL
15.7,13.4,21.3,0.0,MIL
0.0,0.0,13.4,6.7,MIL
9.4,0.0,8.7,0.0,MIL
0.0,0.0,40.5,0.0,MIL
6.1,0.0,11.1,0.0,MIL
0.0, ,0.0,0.0,MIL
15.6,10.2,19.9,0.0,MIL
32.7,0.0,27.9,0.0,MIL
9.1,0.0,15.0,0.0,MIL
28.6,18.4,28.5,0.0,MIL
7.4,0.0,12.2,0.0,MIL
0.0,0.0,20.5,0.0,MIL
0.0, ,0.0,0.0,MIL
0.0, ,0.0,0.0,MIL
0.0,0.0,23.0,0.0,MIL
17.8,0.0,14.2,0.0,MIL
0.0,25.0,14.6,0.0,MIL
0.0, ,0.0,0.0,MIL
0.0,0.0,7.4,0.0,MIL
0.0, ,0.0,0.0,MIL
0.0,34.7,14.1,0.0,MIL
0.0, ,0.0,0.0,MIL
