Player,Games,Attempts,Errors,Kills,KPG,Attack Pct,Assists,APG,Digs,DPG,Blocks,Service Aces
Colleen Horan,48,275,47,122,2.54,0.273,3,0.06,132,2.75,65,34
Rachel Bishop,47,284,59,105,2.23,0.162,3,0.06,168,3.57,17,23
Jackie Zugzda,48,239,25,87,1.81,0.259,5,0.1,151,3.15,10,49
Katie Chandler,48,199,37,67,1.4,0.151,1,0.02,86,1.79,46,37
Jessalyn Hotaling,47,189,29,64,1.36,0.185,10,0.21,102,2.17,28,51
Amy Matarese,32,42,4,12,0.38,0.19,1,0.03,20,0.63,9,3
Amanda Jeffes,48,47,5,11,0.23,0.128,365,7.6,81,1.69,7,19
Jessica Yansak,11,10,3,1,0.09,-0.2,0,0.0,8,0.73,0,0
Christina Scott,13,12,1,1,0.08,0.0,0,0.0,18,1.38,1,0
Stefanie Bowman,18,7,2,0,0.0,-0.286,7,0.39,10,0.56,2,1
Jennifer Plumer,15,2,0,0,0.0,0.0,4,0.27,15,1.0,0,0
Stephanie Thomas,5,1,0,0,0.0,0.0,0,0.0,0,0.0,0,0
Juliette Barbera,32,1,0,0,0.0,0.0,0,0.0,81,2.53,0,4
Katie Brophy,10,5,1,0,0.0,0.0,6,0.6,8,0.8,0,0
