USG%,STL%,ORB%,DRtg,AST%,G,Rk
10.0,4.7,10.0,112,6.6,34,34
6.4,1.6,9.8,110,13.2,4,4
7.3,0.0,5.3,102,0.0,33,33
10.5,2.0,18.9,97,0.0,39,39
12.0,4.0,5.9,100,0.0,7,7
8.4,1.9,6.8,83,6.1,10,10
8.4,6.1,0.0,118,0.0,58,58
9.8,4.3,0.0,110,5.5,19,19
16.6,2.3,17.1,119,0.0,59,59
16.9,1.7,13.3,107,4.8,8,8
12.1,0.0,4.6,117,5.8,22,22
16.4,1.8,21.0,128,13.0,13,13
11.0,2.1,4.9,106,0.0,32,32
18.0,0.0,25.1,117,13.7,24,24
4.8,0.0,0.0,113,0.0,53,53
3.9,0.0,10.1,122,0.0,56,56
20.3,0.0,26.6,105,11.9,51,51
12.3,7.0,13.0,110,0.0,47,47
5.9,4.4,14.1,104,11.9,55,55
12.8,4.4,0.0,115,13.4,23,23
11.1,0.0,13.1,105,15.5,11,11
7.2,16.6,17.1,42,0.0,57,57
8.9,0.0,15.3,109,4.7,46,46
7.2,4.1,14.3,106,9.8,42,42
17.3,2.0,10.1,80,6.7,38,38
8.1,1.6,14.0,98,4.4,25,25
